sec,r.init,r.init was invoked (a)
0.000,0.682,robot,pushButton was invoked
0.001,1.141,robot,resetMotorEncoders was called
0.002,0.729,robot,enableMotorEncoders was called
0.003,0.647,r.init,r.init finished (a)
0.004,1.418,autonomous,Done with robot.init --- waiting for start
0.005,0.634,autonomous,Started
1.694,1688.881,Mainline,Begining state machine pass
1.695,0.868,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
1.697,2.455,StateMachine,Execution of clear el wall has started
1.698,1.279,StateMachine,after this.isFirstTime = false
1.699,1.055,StateMachine,before if(conditionsToCheck
1.700,0.867,StateMachine,before this.everyTime
1.701,0.892,StateMachine,after this.everyTime
1.702,0.682,StateMachine,run completed
1.702,0.642,Mainline,Ending state machine pass
1.703,0.721,Mainline,Begining state machine pass
1.704,0.741,StateMachine,before if(conditionsToCheck
1.705,1.357,StateMachine,before this.everyTime
1.706,1.236,StateMachine,after this.everyTime
1.707,0.949,StateMachine,run completed
1.708,0.976,Mainline,Ending state machine pass
1.709,0.868,Mainline,Begining state machine pass
1.710,0.804,StateMachine,before if(conditionsToCheck
1.711,1.205,StateMachine,before this.everyTime
1.713,1.257,StateMachine,after this.everyTime
1.713,0.686,StateMachine,run completed
1.714,0.825,Mainline,Ending state machine pass
1.715,0.904,Mainline,Begining state machine pass
1.716,0.686,StateMachine,before if(conditionsToCheck
1.717,1.086,StateMachine,before this.everyTime
1.719,1.828,StateMachine,after this.everyTime
1.719,0.664,StateMachine,run completed
1.720,0.841,Mainline,Ending state machine pass
1.721,0.600,Mainline,Begining state machine pass
1.721,0.745,StateMachine,before if(conditionsToCheck
1.722,0.759,StateMachine,before this.everyTime
1.723,0.729,StateMachine,after this.everyTime
1.723,0.510,StateMachine,run completed
1.724,0.737,Mainline,Ending state machine pass
1.725,0.826,Mainline,Begining state machine pass
1.726,0.658,StateMachine,before if(conditionsToCheck
1.727,1.697,StateMachine,before this.everyTime
1.728,1.163,StateMachine,after this.everyTime
1.729,0.901,StateMachine,run completed
1.730,1.081,Mainline,Ending state machine pass
1.731,0.757,Mainline,Begining state machine pass
1.732,0.730,StateMachine,before if(conditionsToCheck
1.733,1.388,StateMachine,before this.everyTime
1.734,0.829,StateMachine,after this.everyTime
1.735,0.441,StateMachine,run completed
1.735,0.718,Mainline,Ending state machine pass
1.736,0.593,Mainline,Begining state machine pass
1.737,0.724,StateMachine,before if(conditionsToCheck
1.738,1.671,StateMachine,before this.everyTime
1.739,0.668,StateMachine,after this.everyTime
1.740,0.767,StateMachine,run completed
1.740,0.474,Mainline,Ending state machine pass
1.741,0.640,Mainline,Begining state machine pass
1.741,0.485,StateMachine,before if(conditionsToCheck
1.742,0.731,StateMachine,before this.everyTime
1.743,0.524,StateMachine,after this.everyTime
1.743,0.481,StateMachine,run completed
1.744,1.408,Mainline,Ending state machine pass
1.745,0.826,Mainline,Begining state machine pass
1.746,0.772,StateMachine,before if(conditionsToCheck
1.747,1.344,StateMachine,before this.everyTime
1.748,0.754,StateMachine,after this.everyTime
1.750,1.355,StateMachine,run completed
1.750,0.634,Mainline,Ending state machine pass
1.751,0.762,Mainline,Begining state machine pass
1.752,0.608,StateMachine,before if(conditionsToCheck
