sec,r.init,r.init was invoked (a)
0.002,1.757,robot,pushButton was invoked
0.003,1.043,robot,resetMotorEncoders was called
0.004,0.863,robot,enableMotorEncoders was called
0.005,0.738,r.init,r.init finished (a)
0.005,0.639,autonomous,Done with robot.init --- starting p.init
0.006,0.525,autonomous,Done with pm.init --- waiting for start
0.006,0.495,autonomous,Started
0.893,886.580,Mainline,Begining state machine pass
0.894,0.749,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
0.895,1.478,StateMachine,Execution of clear el wall has started
0.896,0.896,StateMachine,after this.isFirstTime = false
0.897,0.752,StateMachine,before if(conditionsToCheck
0.897,0.538,StateMachine,before this.everyTime
0.898,0.461,StateMachine,after this.everyTime
0.898,0.491,StateMachine,run completed
0.899,0.477,Mainline,Ending state machine pass
0.899,0.554,Mainline,Begining state machine pass
0.900,0.754,StateMachine,before if(conditionsToCheck
0.901,0.731,StateMachine,before this.everyTime
0.901,0.553,StateMachine,after this.everyTime
0.902,0.453,StateMachine,run completed
0.902,0.482,Mainline,Ending state machine pass
0.903,0.524,Mainline,Begining state machine pass
0.903,0.554,StateMachine,before if(conditionsToCheck
0.904,0.601,StateMachine,before this.everyTime
0.904,0.515,StateMachine,after this.everyTime
0.906,1.363,StateMachine,run completed
0.907,0.732,Mainline,Ending state machine pass
0.907,0.745,Mainline,Begining state machine pass
0.908,0.579,StateMachine,before if(conditionsToCheck
0.909,0.713,StateMachine,before this.everyTime
0.909,0.529,StateMachine,after this.everyTime
0.910,0.611,StateMachine,run completed
0.910,0.523,Mainline,Ending state machine pass
0.911,0.520,Mainline,Begining state machine pass
0.911,0.602,StateMachine,before if(conditionsToCheck
0.912,0.751,StateMachine,before this.everyTime
0.913,0.635,StateMachine,after this.everyTime
0.913,0.506,StateMachine,run completed
0.914,0.478,Mainline,Ending state machine pass
0.914,0.689,Mainline,Begining state machine pass
0.915,0.587,StateMachine,before if(conditionsToCheck
0.916,0.749,StateMachine,before this.everyTime
0.916,0.613,StateMachine,after this.everyTime
0.917,0.893,StateMachine,run completed
0.918,0.617,Mainline,Ending state machine pass
0.918,0.551,Mainline,Begining state machine pass
0.919,0.733,StateMachine,before if(conditionsToCheck
0.920,0.999,StateMachine,before this.everyTime
0.922,1.455,StateMachine,after this.everyTime
0.923,1.302,StateMachine,run completed
0.925,2.154,Mainline,Ending state machine pass
0.927,1.529,Mainline,Begining state machine pass
0.927,0.786,StateMachine,before if(conditionsToCheck
0.928,0.690,StateMachine,before this.everyTime
0.929,0.570,StateMachine,after this.everyTime
0.929,0.481,StateMachine,run completed
0.930,0.549,Mainline,Ending state machine pass
0.930,0.632,Mainline,Begining state machine pass
0.931,0.858,StateMachine,before if(conditionsToCheck
0.932,0.768,StateMachine,before this.everyTime
0.933,0.935,StateMachine,after this.everyTime
0.934,0.766,StateMachine,run completed
0.935,0.936,Mainline,Ending state machine pass
0.935,0.545,Mainline,Begining state machine pass
0.936,0.701,StateMachine,before if(conditionsToCheck
0.937,1.112,StateMachine,before this.everyTime
0.938,1.221,StateMachine,after this.everyTime
0.939,0.738,StateMachine,run completed
0.940,0.719,Mainline,Ending state machine pass
0.941,0.988,Mainline,Begining state machine pass
0.942,0.971,StateMachine,before if(conditionsToCheck
0.943,1.750,StateMachine,before this.everyTime
0.944,1.101,StateMachine,after this.everyTime
0.946,1.887,StateMachine,run completed
0.947,1.144,Mainline,Ending state machine pass
0.948,0.872,Mainline,Begining state machine pass
0.949,0.909,StateMachine,before if(conditionsToCheck
0.951,1.907,StateMachine,before this.everyTime
0.952,0.867,StateMachine,after this.everyTime
0.953,0.623,StateMachine,run completed
0.953,0.754,Mainline,Ending state machine pass
0.954,0.482,Mainline,Begining state machine pass
0.955,0.729,StateMachine,before if(conditionsToCheck
0.955,0.603,StateMachine,before this.everyTime
0.956,0.666,StateMachine,after this.everyTime
0.957,0.767,StateMachine,run completed
0.957,0.738,Mainline,Ending state machine pass
0.958,0.466,Mainline,Begining state machine pass
0.959,0.747,StateMachine,before if(conditionsToCheck
0.960,1.797,StateMachine,before this.everyTime
0.961,0.877,StateMachine,after this.everyTime
0.962,0.455,StateMachine,run completed
0.962,0.613,Mainline,Ending state machine pass
0.963,0.455,Mainline,Begining state machine pass
0.964,0.700,StateMachine,before if(conditionsToCheck
0.964,0.571,StateMachine,before this.everyTime
0.965,0.738,StateMachine,after this.everyTime
0.965,0.422,StateMachine,run completed
0.966,0.678,Mainline,Ending state machine pass
0.966,0.510,Mainline,Begining state machine pass
0.967,0.835,StateMachine,before if(conditionsToCheck
0.968,0.613,StateMachine,before this.everyTime
0.969,0.612,StateMachine,after this.everyTime
0.969,0.731,StateMachine,run completed
0.970,0.571,Mainline,Ending state machine pass
0.971,1.008,Mainline,Begining state machine pass
0.971,0.654,StateMachine,before if(conditionsToCheck
0.972,0.991,StateMachine,before this.everyTime
0.974,1.106,StateMachine,after this.everyTime
0.974,0.704,StateMachine,run completed
0.975,0.476,Mainline,Ending state machine pass
0.975,0.703,Mainline,Begining state machine pass
0.976,0.600,StateMachine,before if(conditionsToCheck
0.977,0.800,StateMachine,before this.everyTime
0.977,0.505,StateMachine,after this.everyTime
0.978,0.691,StateMachine,run completed
0.978,0.441,Mainline,Ending state machine pass
0.979,0.720,Mainline,Begining state machine pass
0.980,0.595,StateMachine,before if(conditionsToCheck
0.980,0.664,StateMachine,before this.everyTime
0.981,0.592,StateMachine,after this.everyTime
0.982,0.587,StateMachine,run completed
0.982,0.477,Mainline,Ending state machine pass
0.983,0.630,Mainline,Begining state machine pass
0.983,0.515,StateMachine,before if(conditionsToCheck
0.984,0.840,StateMachine,before this.everyTime
0.985,0.468,StateMachine,after this.everyTime
0.985,0.645,StateMachine,run completed
0.986,0.419,Mainline,Ending state machine pass
0.986,0.738,Mainline,Begining state machine pass
0.987,0.526,StateMachine,before if(conditionsToCheck
0.988,0.733,StateMachine,before this.everyTime
0.988,0.500,StateMachine,after this.everyTime
0.989,0.595,StateMachine,run completed
0.989,0.490,Mainline,Ending state machine pass
0.990,0.684,Mainline,Begining state machine pass
0.990,0.506,StateMachine,before if(conditionsToCheck
0.992,1.157,StateMachine,before this.everyTime
0.992,0.539,StateMachine,after this.everyTime
0.993,0.618,StateMachine,run completed
0.993,0.510,Mainline,Ending state machine pass
0.994,0.685,Mainline,Begining state machine pass
0.994,0.486,StateMachine,before if(conditionsToCheck
0.995,0.821,StateMachine,before this.everyTime
0.996,0.489,StateMachine,after this.everyTime
0.996,0.738,StateMachine,run completed
0.997,0.469,Mainline,Ending state machine pass
0.998,0.671,Mainline,Begining state machine pass
0.998,0.466,StateMachine,before if(conditionsToCheck
0.999,0.719,StateMachine,before this.everyTime
0.999,0.475,StateMachine,after this.everyTime
1.000,0.636,StateMachine,run completed
1.000,0.434,Mainline,Ending state machine pass
1.001,0.792,Mainline,Begining state machine pass
1.002,0.534,StateMachine,before if(conditionsToCheck
1.002,0.580,StateMachine,before this.everyTime
1.007,4.351,StateMachine,after this.everyTime
1.009,2.884,StateMachine,run completed
1.011,1.201,Mainline,Ending state machine pass
1.011,0.816,Mainline,Begining state machine pass
1.012,0.798,StateMachine,before if(conditionsToCheck
1.013,0.801,StateMachine,before this.everyTime
1.014,0.484,StateMachine,after this.everyTime
1.015,1.096,StateMachine,run completed
1.015,0.573,Mainline,Ending state machine pass
1.016,0.638,Mainline,Begining state machine pass
1.017,1.199,StateMachine,before if(conditionsToCheck
1.018,0.750,StateMachine,before this.everyTime
1.019,1.446,StateMachine,after this.everyTime
1.020,1.197,StateMachine,run completed
1.021,0.701,Mainline,Ending state machine pass
1.022,0.654,Mainline,Begining state machine pass
1.023,0.882,StateMachine,before if(conditionsToCheck
1.024,0.949,StateMachine,before this.everyTime
1.025,0.926,StateMachine,after this.everyTime
1.025,0.687,StateMachine,run completed
1.026,0.607,Mainline,Ending state machine pass
1.027,1.178,Mainline,Begining state machine pass
1.028,0.462,StateMachine,before if(conditionsToCheck
1.029,1.084,StateMachine,before this.everyTime
1.029,0.522,StateMachine,after this.everyTime
1.030,0.563,StateMachine,run completed
1.031,0.872,Mainline,Ending state machine pass
1.032,1.145,Mainline,Begining state machine pass
1.033,0.893,StateMachine,before if(conditionsToCheck
1.033,0.732,StateMachine,before this.everyTime
1.034,0.414,StateMachine,after this.everyTime
1.035,0.964,StateMachine,run completed
1.035,0.549,Mainline,Ending state machine pass
1.036,0.714,Mainline,Begining state machine pass
1.037,1.163,StateMachine,before if(conditionsToCheck
1.038,0.962,StateMachine,before this.everyTime
1.039,0.461,StateMachine,after this.everyTime
1.039,0.726,StateMachine,run completed
1.040,0.820,Mainline,Ending state machine pass
1.041,0.611,Mainline,Begining state machine pass
1.041,0.628,StateMachine,before if(conditionsToCheck
1.042,0.882,StateMachine,before this.everyTime
1.043,0.453,StateMachine,after this.everyTime
1.043,0.601,StateMachine,run completed
1.044,0.380,Mainline,Ending state machine pass
1.044,0.797,Mainline,Begining state machine pass
1.045,0.711,StateMachine,before if(conditionsToCheck
1.046,0.528,StateMachine,before this.everyTime
1.046,0.528,StateMachine,after this.everyTime
1.047,0.418,StateMachine,run completed
1.047,0.371,Mainline,Ending state machine pass
1.047,0.425,Mainline,Begining state machine pass
1.048,0.440,StateMachine,before if(conditionsToCheck
1.049,0.786,StateMachine,before this.everyTime
1.049,0.490,StateMachine,after this.everyTime
1.050,0.444,StateMachine,run completed
1.050,0.428,Mainline,Ending state machine pass
1.051,0.629,Mainline,Begining state machine pass
1.051,0.429,StateMachine,before if(conditionsToCheck
1.052,0.546,StateMachine,before this.everyTime
1.052,0.431,StateMachine,after this.everyTime
1.053,0.782,StateMachine,run completed
1.053,0.380,Mainline,Ending state machine pass
1.054,0.410,Mainline,Begining state machine pass
1.054,0.445,StateMachine,before if(conditionsToCheck
1.055,0.865,StateMachine,before this.everyTime
1.055,0.502,StateMachine,after this.everyTime
1.056,0.447,StateMachine,run completed
1.056,0.431,Mainline,Ending state machine pass
1.057,0.515,Mainline,Begining state machine pass
1.057,0.450,StateMachine,before if(conditionsToCheck
1.058,0.433,StateMachine,before this.everyTime
1.058,0.374,StateMachine,after this.everyTime
1.058,0.370,StateMachine,run completed
1.060,1.708,Mainline,Ending state machine pass
1.062,1.564,Mainline,Begining state machine pass
1.062,0.585,StateMachine,before if(conditionsToCheck
1.064,1.581,StateMachine,before this.everyTime
1.065,0.677,StateMachine,after this.everyTime
1.065,0.458,StateMachine,run completed
1.065,0.389,Mainline,Ending state machine pass
1.066,0.337,Mainline,Begining state machine pass
1.066,0.410,StateMachine,before if(conditionsToCheck
1.067,0.675,StateMachine,before this.everyTime
1.067,0.493,StateMachine,after this.everyTime
1.068,0.381,StateMachine,run completed
1.068,0.381,Mainline,Ending state machine pass
1.068,0.396,Mainline,Begining state machine pass
1.069,0.448,StateMachine,before if(conditionsToCheck
1.069,0.490,StateMachine,before this.everyTime
1.070,0.539,StateMachine,after this.everyTime
1.070,0.435,StateMachine,run completed
1.071,0.410,Mainline,Ending state machine pass
1.071,0.436,Mainline,Begining state machine pass
1.072,0.455,StateMachine,before if(conditionsToCheck
1.072,0.560,StateMachine,before this.everyTime
1.073,0.390,StateMachine,after this.everyTime
1.073,0.427,StateMachine,run completed
1.073,0.373,Mainline,Ending state machine pass
1.074,0.402,Mainline,Begining state machine pass
1.074,0.410,StateMachine,before if(conditionsToCheck
1.075,0.519,StateMachine,before this.everyTime
1.075,0.408,StateMachine,after this.everyTime
1.076,0.334,StateMachine,run completed
1.076,0.598,Mainline,Ending state machine pass
1.077,0.418,Mainline,Begining state machine pass
1.077,0.427,StateMachine,before if(conditionsToCheck
1.077,0.466,StateMachine,before this.everyTime
1.078,0.349,StateMachine,after this.everyTime
1.078,0.359,StateMachine,run completed
1.079,0.375,Mainline,Ending state machine pass
1.079,0.443,Mainline,Begining state machine pass
1.079,0.445,StateMachine,before if(conditionsToCheck
1.081,1.561,StateMachine,before this.everyTime
1.082,0.531,StateMachine,after this.everyTime
1.082,0.459,StateMachine,run completed
1.082,0.359,Mainline,Ending state machine pass
1.083,0.337,Mainline,Begining state machine pass
1.083,0.549,StateMachine,before if(conditionsToCheck
1.084,0.564,StateMachine,before this.everyTime
1.084,0.497,StateMachine,after this.everyTime
1.085,0.450,StateMachine,run completed
1.085,0.453,Mainline,Ending state machine pass
1.086,0.433,Mainline,Begining state machine pass
1.086,0.457,StateMachine,before if(conditionsToCheck
1.087,0.583,StateMachine,before this.everyTime
1.087,0.436,StateMachine,after this.everyTime
1.087,0.410,StateMachine,run completed
1.088,0.396,Mainline,Ending state machine pass
1.088,0.388,Mainline,Begining state machine pass
1.089,0.450,StateMachine,before if(conditionsToCheck
1.089,0.535,StateMachine,before this.everyTime
1.090,0.618,StateMachine,after this.everyTime
1.090,0.440,StateMachine,run completed
1.091,0.415,Mainline,Ending state machine pass
1.091,0.413,Mainline,Begining state machine pass
1.092,0.386,StateMachine,before if(conditionsToCheck
1.092,0.461,StateMachine,before this.everyTime
1.092,0.403,StateMachine,after this.everyTime
1.093,0.368,StateMachine,run completed
1.093,0.355,Mainline,Ending state machine pass
1.093,0.322,Mainline,Begining state machine pass
1.094,0.325,StateMachine,before if(conditionsToCheck
1.094,0.516,StateMachine,before this.everyTime
1.095,0.744,StateMachine,after this.everyTime
1.095,0.454,StateMachine,run completed
1.096,0.446,Mainline,Ending state machine pass
1.097,1.022,Mainline,Begining state machine pass
1.097,0.476,StateMachine,before if(conditionsToCheck
1.098,0.620,StateMachine,before this.everyTime
1.098,0.452,StateMachine,after this.everyTime
1.099,0.420,StateMachine,run completed
