sec,r.init,r.init was invoked (a)
1.099,0.347,Mainline,Ending state machine pass
1.100,0.430,Mainline,Begining state machine pass
1.100,0.407,StateMachine,before if(conditionsToCheck
1.101,0.506,StateMachine,before this.everyTime
1.101,0.444,StateMachine,after this.everyTime
1.101,0.353,StateMachine,run completed
1.102,0.305,Mainline,Ending state machine pass
1.102,0.364,Mainline,Begining state machine pass
1.102,0.419,StateMachine,before if(conditionsToCheck
1.103,0.520,StateMachine,before this.everyTime
1.103,0.361,StateMachine,after this.everyTime
1.104,0.309,StateMachine,run completed
1.104,0.318,Mainline,Ending state machine pass
1.104,0.371,Mainline,Begining state machine pass
1.105,0.432,StateMachine,before if(conditionsToCheck
1.105,0.478,StateMachine,before this.everyTime
1.106,0.331,StateMachine,after this.everyTime
1.106,0.340,StateMachine,run completed
1.106,0.355,Mainline,Ending state machine pass
1.107,0.406,Mainline,Begining state machine pass
1.107,0.415,StateMachine,before if(conditionsToCheck
1.108,0.409,StateMachine,before this.everyTime
1.108,0.347,StateMachine,after this.everyTime
1.108,0.351,StateMachine,run completed
1.109,0.382,Mainline,Ending state machine pass
1.109,0.439,Mainline,Begining state machine pass
1.110,0.476,StateMachine,before if(conditionsToCheck
1.110,0.570,StateMachine,before this.everyTime
1.111,0.422,StateMachine,after this.everyTime
1.111,0.436,StateMachine,run completed
1.111,0.416,Mainline,Ending state machine pass
1.112,0.398,Mainline,Begining state machine pass
1.112,0.444,StateMachine,before if(conditionsToCheck
1.113,0.517,StateMachine,before this.everyTime
1.113,0.411,StateMachine,after this.everyTime
1.113,0.352,StateMachine,run completed
1.114,0.358,Mainline,Ending state machine pass
1.114,0.419,Mainline,Begining state machine pass
1.115,0.431,StateMachine,before if(conditionsToCheck
1.115,0.755,StateMachine,before this.everyTime
1.116,0.450,StateMachine,after this.everyTime
1.116,0.438,StateMachine,run completed
1.117,0.412,Mainline,Ending state machine pass
1.117,0.405,Mainline,Begining state machine pass
1.118,0.345,StateMachine,before if(conditionsToCheck
1.118,0.448,StateMachine,before this.everyTime
1.118,0.416,StateMachine,after this.everyTime
1.119,0.403,StateMachine,run completed
1.119,0.358,Mainline,Ending state machine pass
1.119,0.316,Mainline,Begining state machine pass
1.120,0.547,StateMachine,before if(conditionsToCheck
1.121,0.529,StateMachine,before this.everyTime
1.121,0.509,StateMachine,after this.everyTime
1.121,0.381,StateMachine,run completed
1.122,0.325,Mainline,Ending state machine pass
1.122,0.394,Mainline,Begining state machine pass
1.123,0.449,StateMachine,before if(conditionsToCheck
1.123,0.523,StateMachine,before this.everyTime
1.124,0.421,StateMachine,after this.everyTime
1.124,0.448,StateMachine,run completed
1.124,0.424,Mainline,Ending state machine pass
1.125,0.450,Mainline,Begining state machine pass
1.126,1.313,StateMachine,before if(conditionsToCheck
1.128,1.400,StateMachine,before this.everyTime
1.129,1.837,StateMachine,after this.everyTime
1.132,2.468,StateMachine,run completed
1.132,0.506,Mainline,Ending state machine pass
1.133,0.491,Mainline,Begining state machine pass
1.133,0.444,StateMachine,before if(conditionsToCheck
1.134,0.487,StateMachine,before this.everyTime
1.134,0.387,StateMachine,after this.everyTime
1.135,0.383,StateMachine,run completed
1.135,0.369,Mainline,Ending state machine pass
1.135,0.333,Mainline,Begining state machine pass
1.136,0.318,StateMachine,before if(conditionsToCheck
1.136,0.502,StateMachine,before this.everyTime
1.137,0.429,StateMachine,after this.everyTime
1.137,0.401,StateMachine,run completed
1.137,0.381,Mainline,Ending state machine pass
1.138,0.403,Mainline,Begining state machine pass
1.138,0.412,StateMachine,before if(conditionsToCheck
1.139,0.517,StateMachine,before this.everyTime
1.139,0.481,StateMachine,after this.everyTime
1.140,0.471,StateMachine,run completed
1.140,0.463,Mainline,Ending state machine pass
1.140,0.385,Mainline,Begining state machine pass
1.141,0.326,StateMachine,before if(conditionsToCheck
1.141,0.541,StateMachine,before this.everyTime
1.142,0.444,StateMachine,after this.everyTime
1.142,0.426,StateMachine,run completed
1.143,0.399,Mainline,Ending state machine pass
1.143,0.383,Mainline,Begining state machine pass
1.143,0.412,StateMachine,before if(conditionsToCheck
1.144,0.485,StateMachine,before this.everyTime
1.144,0.408,StateMachine,after this.everyTime
1.145,0.417,StateMachine,run completed
1.145,0.437,Mainline,Ending state machine pass
1.145,0.386,Mainline,Begining state machine pass
1.146,0.434,StateMachine,before if(conditionsToCheck
1.147,0.587,StateMachine,before this.everyTime
1.147,0.441,StateMachine,after this.everyTime
1.147,0.400,StateMachine,run completed
1.148,0.352,Mainline,Ending state machine pass
1.148,0.388,Mainline,Begining state machine pass
1.149,0.825,StateMachine,before if(conditionsToCheck
1.149,0.554,StateMachine,before this.everyTime
1.150,0.578,StateMachine,after this.everyTime
1.150,0.416,StateMachine,run completed
1.151,0.368,Mainline,Ending state machine pass
1.151,0.398,Mainline,Begining state machine pass
1.152,0.775,StateMachine,before if(conditionsToCheck
1.153,0.582,StateMachine,before this.everyTime
1.153,0.533,StateMachine,after this.everyTime
1.154,0.404,StateMachine,run completed
1.154,0.432,Mainline,Ending state machine pass
1.154,0.430,Mainline,Begining state machine pass
1.155,0.472,StateMachine,before if(conditionsToCheck
1.155,0.541,StateMachine,before this.everyTime
1.156,0.444,StateMachine,after this.everyTime
1.156,0.458,StateMachine,run completed
1.157,0.396,Mainline,Ending state machine pass
1.157,0.488,Mainline,Begining state machine pass
1.158,0.433,StateMachine,before if(conditionsToCheck
1.158,0.568,StateMachine,before this.everyTime
1.159,0.420,StateMachine,after this.everyTime
1.159,0.382,StateMachine,run completed
1.159,0.385,Mainline,Ending state machine pass
1.160,0.706,Mainline,Begining state machine pass
1.161,0.524,StateMachine,before if(conditionsToCheck
1.161,0.579,StateMachine,before this.everyTime
1.162,0.379,StateMachine,after this.everyTime
1.162,0.392,StateMachine,run completed
1.162,0.369,Mainline,Ending state machine pass
1.163,0.438,Mainline,Begining state machine pass
1.163,0.389,StateMachine,before if(conditionsToCheck
1.164,0.413,StateMachine,before this.everyTime
1.164,0.364,StateMachine,after this.everyTime
1.164,0.364,StateMachine,run completed
1.165,0.423,Mainline,Ending state machine pass
1.165,0.427,Mainline,Begining state machine pass
1.166,0.370,StateMachine,before if(conditionsToCheck
1.166,0.493,StateMachine,before this.everyTime
1.166,0.440,StateMachine,after this.everyTime
1.167,0.775,StateMachine,run completed
1.168,0.447,Mainline,Ending state machine pass
1.168,0.430,Mainline,Begining state machine pass
1.168,0.398,StateMachine,before if(conditionsToCheck
1.169,0.527,StateMachine,before this.everyTime
1.170,0.694,StateMachine,after this.everyTime
1.170,0.492,StateMachine,run completed
1.171,0.508,Mainline,Ending state machine pass
1.171,0.522,Mainline,Begining state machine pass
1.172,0.750,StateMachine,before if(conditionsToCheck
1.173,0.813,StateMachine,before this.everyTime
1.173,0.606,StateMachine,after this.everyTime
1.174,0.505,StateMachine,run completed
1.174,0.402,Mainline,Ending state machine pass
1.175,0.413,Mainline,Begining state machine pass
1.175,0.449,StateMachine,before if(conditionsToCheck
1.176,0.468,StateMachine,before this.everyTime
1.176,0.427,StateMachine,after this.everyTime
1.176,0.396,StateMachine,run completed
1.177,0.384,Mainline,Ending state machine pass
1.177,0.467,Mainline,Begining state machine pass
1.178,0.405,StateMachine,before if(conditionsToCheck
1.178,0.525,StateMachine,before this.everyTime
1.179,0.417,StateMachine,after this.everyTime
1.179,0.562,StateMachine,run completed
1.180,0.385,Mainline,Ending state machine pass
1.180,0.414,Mainline,Begining state machine pass
1.180,0.427,StateMachine,before if(conditionsToCheck
1.181,0.593,StateMachine,before this.everyTime
1.181,0.438,StateMachine,after this.everyTime
1.182,0.395,StateMachine,run completed
1.182,0.358,Mainline,Ending state machine pass
1.183,0.357,Mainline,Begining state machine pass
1.183,0.443,StateMachine,before if(conditionsToCheck
1.183,0.434,StateMachine,before this.everyTime
1.184,0.385,StateMachine,after this.everyTime
1.184,0.369,StateMachine,run completed
1.185,0.340,Mainline,Ending state machine pass
1.185,0.381,Mainline,Begining state machine pass
1.185,0.475,StateMachine,before if(conditionsToCheck
1.186,0.601,StateMachine,before this.everyTime
1.187,0.959,StateMachine,after this.everyTime
1.187,0.451,StateMachine,run completed
1.188,0.411,Mainline,Ending state machine pass
1.188,0.544,Mainline,Begining state machine pass
1.189,0.509,StateMachine,before if(conditionsToCheck
1.189,0.568,StateMachine,before this.everyTime
1.190,0.674,StateMachine,after this.everyTime
1.191,0.420,StateMachine,run completed
1.191,0.408,Mainline,Ending state machine pass
1.191,0.422,Mainline,Begining state machine pass
1.192,0.381,StateMachine,before if(conditionsToCheck
1.192,0.460,StateMachine,before this.everyTime
1.193,0.343,StateMachine,after this.everyTime
1.193,0.327,StateMachine,run completed
1.193,0.317,Mainline,Ending state machine pass
1.194,0.484,Mainline,Begining state machine pass
1.194,0.592,StateMachine,before if(conditionsToCheck
1.195,0.856,StateMachine,before this.everyTime
1.196,0.439,StateMachine,after this.everyTime
1.196,0.779,StateMachine,run completed
1.197,0.437,Mainline,Ending state machine pass
1.197,0.515,Mainline,Begining state machine pass
1.198,0.385,StateMachine,before if(conditionsToCheck
1.199,0.798,StateMachine,before this.everyTime
1.199,0.549,StateMachine,after this.everyTime
1.200,0.695,StateMachine,run completed
1.201,0.773,Mainline,Ending state machine pass
1.202,1.052,Mainline,Begining state machine pass
1.202,0.604,StateMachine,before if(conditionsToCheck
1.204,1.392,StateMachine,before this.everyTime
1.204,0.877,StateMachine,after this.everyTime
1.205,0.809,StateMachine,run completed
1.206,0.449,Mainline,Ending state machine pass
1.206,0.799,Mainline,Begining state machine pass
1.207,0.498,StateMachine,before if(conditionsToCheck
1.208,0.657,StateMachine,before this.everyTime
1.209,0.946,StateMachine,after this.everyTime
1.209,0.727,StateMachine,run completed
1.210,0.493,Mainline,Ending state machine pass
1.211,1.120,Mainline,Begining state machine pass
1.211,0.540,StateMachine,before if(conditionsToCheck
1.212,0.960,StateMachine,before this.everyTime
1.213,0.519,StateMachine,after this.everyTime
1.214,0.552,StateMachine,run completed
1.214,0.430,Mainline,Ending state machine pass
1.215,0.857,Mainline,Begining state machine pass
1.215,0.486,StateMachine,before if(conditionsToCheck
1.216,0.831,StateMachine,before this.everyTime
1.217,0.573,StateMachine,after this.everyTime
1.217,0.605,StateMachine,run completed
1.218,0.409,Mainline,Ending state machine pass
1.218,0.616,Mainline,Begining state machine pass
1.219,0.573,StateMachine,before if(conditionsToCheck
1.220,0.741,StateMachine,before this.everyTime
1.220,0.551,StateMachine,after this.everyTime
1.221,0.742,StateMachine,run completed
1.221,0.420,Mainline,Ending state machine pass
1.222,0.658,Mainline,Begining state machine pass
1.222,0.461,StateMachine,before if(conditionsToCheck
1.223,0.726,StateMachine,before this.everyTime
1.224,0.399,StateMachine,after this.everyTime
1.224,0.614,StateMachine,run completed
1.225,0.419,Mainline,Ending state machine pass
1.225,0.574,Mainline,Begining state machine pass
1.226,0.438,StateMachine,before if(conditionsToCheck
1.226,0.705,StateMachine,before this.everyTime
1.227,0.403,StateMachine,after this.everyTime
1.227,0.613,StateMachine,run completed
1.228,0.451,Mainline,Ending state machine pass
1.229,1.438,Mainline,Begining state machine pass
1.230,0.617,StateMachine,before if(conditionsToCheck
1.231,0.742,StateMachine,before this.everyTime
1.231,0.459,StateMachine,after this.everyTime
1.232,0.571,StateMachine,run completed
1.232,0.453,Mainline,Ending state machine pass
1.233,0.666,Mainline,Begining state machine pass
1.233,0.591,StateMachine,before if(conditionsToCheck
1.234,0.792,StateMachine,before this.everyTime
1.235,0.442,StateMachine,after this.everyTime
1.235,0.687,StateMachine,run completed
1.236,0.365,Mainline,Ending state machine pass
1.236,0.689,Mainline,Begining state machine pass
1.237,0.491,StateMachine,before if(conditionsToCheck
1.238,0.843,StateMachine,before this.everyTime
1.238,0.421,StateMachine,after this.everyTime
1.239,0.665,StateMachine,run completed
1.239,0.574,Mainline,Ending state machine pass
1.240,0.854,Mainline,Begining state machine pass
1.241,0.508,StateMachine,before if(conditionsToCheck
1.241,0.796,StateMachine,before this.everyTime
1.242,0.479,StateMachine,after this.everyTime
1.243,1.313,StateMachine,run completed
1.244,0.507,Mainline,Ending state machine pass
1.244,0.713,Mainline,Begining state machine pass
1.246,1.082,StateMachine,before if(conditionsToCheck
1.247,0.990,StateMachine,before this.everyTime
1.247,0.530,StateMachine,after this.everyTime
1.248,0.573,StateMachine,run completed
1.248,0.409,Mainline,Ending state machine pass
1.249,0.762,Mainline,Begining state machine pass
1.249,0.517,StateMachine,before if(conditionsToCheck
1.250,0.891,StateMachine,before this.everyTime
1.251,0.484,StateMachine,after this.everyTime
1.251,0.706,StateMachine,run completed
1.252,0.513,Mainline,Ending state machine pass
1.253,0.670,Mainline,Begining state machine pass
1.253,0.474,StateMachine,before if(conditionsToCheck
1.254,0.985,StateMachine,before this.everyTime
1.255,0.732,StateMachine,after this.everyTime
1.256,0.869,StateMachine,run completed
1.256,0.619,Mainline,Ending state machine pass
1.258,1.265,Mainline,Begining state machine pass
1.258,0.600,StateMachine,before if(conditionsToCheck
1.259,0.916,StateMachine,before this.everyTime
1.260,0.501,StateMachine,after this.everyTime
1.260,0.745,StateMachine,run completed
1.261,0.475,Mainline,Ending state machine pass
1.261,0.693,Mainline,Begining state machine pass
1.262,0.622,StateMachine,before if(conditionsToCheck
1.264,1.463,StateMachine,before this.everyTime
1.265,1.309,StateMachine,after this.everyTime
1.265,0.623,StateMachine,run completed
1.266,0.849,Mainline,Ending state machine pass
1.267,0.585,Mainline,Begining state machine pass
1.268,1.198,StateMachine,before if(conditionsToCheck
1.269,0.633,StateMachine,before this.everyTime
1.270,1.497,StateMachine,after this.everyTime
1.271,0.492,StateMachine,run completed
1.271,0.594,Mainline,Ending state machine pass
1.272,0.441,Mainline,Begining state machine pass
1.273,1.225,StateMachine,before if(conditionsToCheck
1.274,1.183,StateMachine,before this.everyTime
1.275,0.694,StateMachine,after this.everyTime
1.275,0.534,StateMachine,run completed
1.276,0.610,Mainline,Ending state machine pass
1.277,0.830,Mainline,Begining state machine pass
1.277,0.588,StateMachine,before if(conditionsToCheck
1.278,0.907,StateMachine,before this.everyTime
1.279,0.800,StateMachine,after this.everyTime
1.280,0.541,StateMachine,run completed
