sec,r.init,r.init was invoked (a)
0.002,1.508,robot,pushButton was invoked
0.003,1.658,robot,resetMotorEncoders was called
0.005,1.528,robot,enableMotorEncoders was called
0.006,1.201,r.init,r.init finished (a)
0.008,1.675,autonomous,Done with robot.init --- waiting for start
0.011,2.965,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
0.012,1.709,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
2.757,2744.987,autonomous,Started
2.760,2.432,Mainline,Begining state machine pass
2.760,0.730,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
2.763,2.124,StateMachine,Execution of clear el wall has started
2.764,1.888,StateMachine,after this.isFirstTime = false
2.768,3.234,StateMachine,before if(conditionsToCheck
2.771,3.559,StateMachine,before this.everyTime
2.774,2.942,StateMachine,after this.everyTime
2.776,1.832,StateMachine,run completed
2.781,4.798,Mainline,Ending state machine pass
2.817,35.833,Mainline,Begining state machine pass
2.817,0.850,StateMachine,before if(conditionsToCheck
2.819,1.844,StateMachine,before this.everyTime
2.820,0.821,StateMachine,after this.everyTime
2.821,0.575,StateMachine,run completed
2.822,1.152,Mainline,Ending state machine pass
2.823,1.355,Mainline,Begining state machine pass
2.824,0.980,StateMachine,before if(conditionsToCheck
2.825,0.980,StateMachine,before this.everyTime
2.826,0.700,StateMachine,after this.everyTime
2.827,0.742,StateMachine,run completed
2.827,0.792,Mainline,Ending state machine pass
2.829,1.126,Mainline,Begining state machine pass
2.830,0.993,StateMachine,before if(conditionsToCheck
2.830,0.898,StateMachine,before this.everyTime
2.831,0.824,StateMachine,after this.everyTime
2.832,0.835,StateMachine,run completed
2.833,0.952,Mainline,Ending state machine pass
2.834,0.606,Mainline,Begining state machine pass
2.834,0.650,StateMachine,before if(conditionsToCheck
2.835,0.955,StateMachine,before this.everyTime
2.836,0.723,StateMachine,after this.everyTime
2.837,0.778,StateMachine,run completed
2.838,0.908,Mainline,Ending state machine pass
2.838,0.673,Mainline,Begining state machine pass
2.839,1.055,StateMachine,before if(conditionsToCheck
2.840,0.817,StateMachine,before this.everyTime
2.841,1.000,StateMachine,after this.everyTime
2.842,0.593,StateMachine,run completed
2.843,0.754,Mainline,Ending state machine pass
2.843,0.880,Mainline,Begining state machine pass
2.845,1.129,StateMachine,before if(conditionsToCheck
2.846,1.736,StateMachine,before this.everyTime
2.848,1.431,StateMachine,after this.everyTime
2.848,0.566,StateMachine,run completed
2.849,1.017,Mainline,Ending state machine pass
2.851,2.077,Mainline,Begining state machine pass
2.852,0.509,StateMachine,before if(conditionsToCheck
2.853,0.729,StateMachine,before this.everyTime
2.854,0.942,StateMachine,after this.everyTime
2.855,1.010,StateMachine,run completed
2.855,0.601,Mainline,Ending state machine pass
2.856,0.501,Mainline,Begining state machine pass
2.856,0.668,StateMachine,before if(conditionsToCheck
2.857,0.794,StateMachine,before this.everyTime
2.858,0.503,StateMachine,after this.everyTime
2.859,1.122,StateMachine,run completed
2.859,0.500,Mainline,Ending state machine pass
2.861,1.358,Mainline,Begining state machine pass
2.861,0.612,StateMachine,before if(conditionsToCheck
2.862,1.065,StateMachine,before this.everyTime
2.863,0.519,StateMachine,after this.everyTime
2.863,0.600,StateMachine,run completed
2.864,0.503,Mainline,Ending state machine pass
2.864,0.527,Mainline,Begining state machine pass
2.865,0.838,StateMachine,before if(conditionsToCheck
2.866,0.914,StateMachine,before this.everyTime
2.867,0.428,StateMachine,after this.everyTime
2.867,0.670,StateMachine,run completed
2.868,0.562,Mainline,Ending state machine pass
2.869,0.838,Mainline,Begining state machine pass
2.869,0.472,StateMachine,before if(conditionsToCheck
2.870,0.813,StateMachine,before this.everyTime
2.871,1.338,StateMachine,after this.everyTime
2.872,0.805,StateMachine,run completed
2.873,0.441,Mainline,Ending state machine pass
2.873,0.684,Mainline,Begining state machine pass
2.874,0.475,StateMachine,before if(conditionsToCheck
2.875,0.999,StateMachine,before this.everyTime
2.875,0.661,StateMachine,after this.everyTime
2.876,0.883,StateMachine,run completed
2.877,0.465,Mainline,Ending state machine pass
2.877,0.556,Mainline,Begining state machine pass
2.878,0.587,StateMachine,before if(conditionsToCheck
2.879,0.882,StateMachine,before this.everyTime
2.879,0.493,StateMachine,after this.everyTime
2.880,0.723,StateMachine,run completed
2.881,0.545,Mainline,Ending state machine pass
2.881,0.568,Mainline,Begining state machine pass
2.882,0.883,StateMachine,before if(conditionsToCheck
2.883,1.043,StateMachine,before this.everyTime
2.883,0.458,StateMachine,after this.everyTime
2.884,0.734,StateMachine,run completed
2.885,0.391,Mainline,Ending state machine pass
2.885,0.706,Mainline,Begining state machine pass
2.886,0.457,StateMachine,before if(conditionsToCheck
2.886,0.693,StateMachine,before this.everyTime
2.889,2.237,StateMachine,after this.everyTime
2.889,0.757,StateMachine,run completed
2.890,0.477,Mainline,Ending state machine pass
2.891,0.793,Mainline,Begining state machine pass
2.891,0.502,StateMachine,before if(conditionsToCheck
2.892,0.551,StateMachine,before this.everyTime
2.892,0.661,StateMachine,after this.everyTime
2.894,1.076,StateMachine,run completed
2.894,0.451,Mainline,Ending state machine pass
2.895,0.839,Mainline,Begining state machine pass
2.895,0.566,StateMachine,before if(conditionsToCheck
2.896,0.898,StateMachine,before this.everyTime
2.897,0.530,StateMachine,after this.everyTime
2.898,0.755,StateMachine,run completed
2.898,0.857,Mainline,Ending state machine pass
2.899,0.765,Mainline,Begining state machine pass
2.900,0.494,StateMachine,before if(conditionsToCheck
2.900,0.727,StateMachine,before this.everyTime
2.901,0.441,StateMachine,after this.everyTime
2.901,0.646,StateMachine,run completed
2.902,0.447,Mainline,Ending state machine pass
2.903,0.666,Mainline,Begining state machine pass
2.903,0.479,StateMachine,before if(conditionsToCheck
2.907,3.722,StateMachine,before this.everyTime
2.908,0.770,StateMachine,after this.everyTime
2.908,0.825,StateMachine,run completed
2.909,0.848,Mainline,Ending state machine pass
2.910,0.425,Mainline,Begining state machine pass
2.910,0.832,StateMachine,before if(conditionsToCheck
2.911,0.594,StateMachine,before this.everyTime
2.912,1.132,StateMachine,after this.everyTime
2.913,0.441,StateMachine,run completed
2.913,0.473,Mainline,Ending state machine pass
2.914,0.610,Mainline,Begining state machine pass
2.914,0.704,StateMachine,before if(conditionsToCheck
2.915,0.571,StateMachine,before this.everyTime
2.915,0.477,StateMachine,after this.everyTime
2.916,1.003,StateMachine,run completed
2.917,0.415,Mainline,Ending state machine pass
