sec,r.init,r.init was invoked (a)
0.001,1.437,robot,pushButton was invoked
0.005,3.617,robot,resetMotorEncoders was called
0.008,3.743,robot,enableMotorEncoders was called
0.011,2.262,r.init,r.init finished (a)
0.012,1.062,autonomous,Done with robot.init --- starting p.init
0.014,1.919,pm.init,pm.init was invoked
0.015,1.532,robot,enableEncodersToPosition was called
0.016,1.320,robot,resetMotorEncoders was called
0.018,1.152,robot,setMotorTargets was called - f:r:s: 0 : 0 : 0
0.021,3.848,robot,enableEncodersToPosition was called
0.026,4.150,robot,setMotorPower was called - power: 1.00
0.029,3.744,pm.init,pm.init finished
0.031,1.723,autonomous,Done with pm.init --- waiting for start
0.033,2.126,autonomous,Started
2.065,2031.412,Mainline,Begining state machine pass
2.066,1.829,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
2.068,1.859,StateMachine,Execution of clear el wall has started
2.070,1.287,StateMachine,after this.isFirstTime = false
2.070,0.931,StateMachine,before if(conditionsToCheck
2.072,1.649,StateMachine,before this.everyTime
2.073,0.951,StateMachine,after this.everyTime
2.074,0.939,StateMachine,run completed
2.075,0.772,Mainline,Ending state machine pass
2.076,0.794,Mainline,Begining state machine pass
2.077,1.262,StateMachine,before if(conditionsToCheck
2.078,1.432,StateMachine,before this.everyTime
2.080,1.534,StateMachine,after this.everyTime
2.081,0.847,StateMachine,run completed
2.082,1.449,Mainline,Ending state machine pass
2.083,0.857,Mainline,Begining state machine pass
2.084,0.739,StateMachine,before if(conditionsToCheck
2.085,0.977,StateMachine,before this.everyTime
2.086,0.858,StateMachine,after this.everyTime
2.086,0.596,StateMachine,run completed
2.087,0.842,Mainline,Ending state machine pass
2.088,1.100,Mainline,Begining state machine pass
2.089,0.914,StateMachine,before if(conditionsToCheck
2.090,0.678,StateMachine,before this.everyTime
2.091,0.846,StateMachine,after this.everyTime
2.091,0.895,StateMachine,run completed
2.093,1.881,Mainline,Ending state machine pass
2.095,1.610,Mainline,Begining state machine pass
2.096,0.711,StateMachine,before if(conditionsToCheck
2.096,0.787,StateMachine,before this.everyTime
2.097,0.603,StateMachine,after this.everyTime
2.098,0.730,StateMachine,run completed
2.098,0.583,Mainline,Ending state machine pass
2.099,0.909,Mainline,Begining state machine pass
2.100,1.180,StateMachine,before if(conditionsToCheck
2.101,1.056,StateMachine,before this.everyTime
2.102,0.651,StateMachine,after this.everyTime
2.103,0.692,StateMachine,run completed
2.104,1.021,Mainline,Ending state machine pass
2.105,0.761,Mainline,Begining state machine pass
2.105,0.853,StateMachine,before if(conditionsToCheck
2.106,0.588,StateMachine,before this.everyTime
