sec,r.init,r.init was invoked (a)
0.001,0.745,robot,pushButton was invoked
0.007,6.004,robot,resetMotorEncoders was called
0.008,1.904,robot,enableMotorEncoders was called
0.015,6.533,r.init,r.init finished (a)
0.017,1.497,autonomous,Done with robot.init --- waiting for start
0.017,0.680,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
0.022,4.478,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
14.151,14129.669,autonomous,Started
15.155,1003.239,Mainline,Begining state machine pass
15.156,1.663,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
15.158,1.792,StateMachine,Execution of clear el wall has started
15.159,1.136,StateMachine,after this.isFirstTime = false
15.160,1.076,StateMachine,before if(conditionsToCheck
15.161,0.823,StateMachine,before this.everyTime
15.162,0.787,StateMachine,after this.everyTime
15.163,0.823,StateMachine,run completed
15.164,0.859,Mainline,Ending state machine pass
15.165,1.198,Mainline,Begining state machine pass
15.166,1.574,StateMachine,before if(conditionsToCheck
15.168,1.481,StateMachine,before this.everyTime
15.169,1.509,StateMachine,after this.everyTime
15.171,1.279,StateMachine,run completed
15.173,2.118,Mainline,Ending state machine pass
15.174,0.858,Mainline,Begining state machine pass
15.174,0.661,StateMachine,before if(conditionsToCheck
15.175,0.680,StateMachine,before this.everyTime
15.175,0.529,StateMachine,after this.everyTime
15.176,0.485,StateMachine,run completed
15.176,0.484,Mainline,Ending state machine pass
15.177,0.442,Mainline,Begining state machine pass
15.177,0.565,StateMachine,before if(conditionsToCheck
15.178,0.687,StateMachine,before this.everyTime
15.179,0.552,StateMachine,after this.everyTime
15.179,0.574,StateMachine,run completed
15.180,0.464,Mainline,Ending state machine pass
15.180,0.546,Mainline,Begining state machine pass
15.181,0.595,StateMachine,before if(conditionsToCheck
15.181,0.665,StateMachine,before this.everyTime
15.182,0.481,StateMachine,after this.everyTime
15.182,0.495,StateMachine,run completed
15.183,0.688,Mainline,Ending state machine pass
15.184,0.560,Mainline,Begining state machine pass
15.184,0.650,StateMachine,before if(conditionsToCheck
15.185,0.741,StateMachine,before this.everyTime
15.186,0.602,StateMachine,after this.everyTime
15.186,0.527,StateMachine,run completed
15.187,1.029,Mainline,Ending state machine pass
15.188,0.634,Mainline,Begining state machine pass
