sec,r.init,r.init was invoked (a)
1.259,0.779,StateMachine,before if(conditionsToCheck
1.260,0.976,StateMachine,before this.everyTime
1.261,1.117,StateMachine,after this.everyTime
1.263,1.624,StateMachine,run completed
1.263,0.572,Mainline,Ending state machine pass
1.264,0.956,Mainline,Begining state machine pass
1.265,0.481,StateMachine,before if(conditionsToCheck
1.265,0.709,StateMachine,before this.everyTime
1.266,0.980,StateMachine,after this.everyTime
1.267,0.828,StateMachine,run completed
1.268,0.481,Mainline,Ending state machine pass
1.268,0.550,Mainline,Begining state machine pass
1.269,0.845,StateMachine,before if(conditionsToCheck
1.270,1.206,StateMachine,before this.everyTime
1.271,1.198,StateMachine,after this.everyTime
1.272,0.787,StateMachine,run completed
1.273,0.863,Mainline,Ending state machine pass
1.274,0.788,Mainline,Begining state machine pass
1.274,0.684,StateMachine,before if(conditionsToCheck
1.275,0.680,StateMachine,before this.everyTime
1.276,0.961,StateMachine,after this.everyTime
1.277,1.204,StateMachine,run completed
1.278,0.973,Mainline,Ending state machine pass
1.279,0.702,Mainline,Begining state machine pass
1.280,1.094,StateMachine,before if(conditionsToCheck
1.281,0.847,StateMachine,before this.everyTime
1.282,0.579,StateMachine,after this.everyTime
1.282,0.841,StateMachine,run completed
1.283,0.653,Mainline,Ending state machine pass
1.284,0.505,Mainline,Begining state machine pass
1.284,0.601,StateMachine,before if(conditionsToCheck
1.285,1.176,StateMachine,before this.everyTime
1.286,0.787,StateMachine,after this.everyTime
1.287,0.782,StateMachine,run completed
1.288,0.811,Mainline,Ending state machine pass
1.288,0.727,Mainline,Begining state machine pass
1.289,0.556,StateMachine,before if(conditionsToCheck
1.290,0.787,StateMachine,before this.everyTime
1.290,0.643,StateMachine,after this.everyTime
1.317,26.458,StateMachine,run completed
1.318,0.760,Mainline,Ending state machine pass
1.318,0.431,Mainline,Begining state machine pass
1.318,0.379,StateMachine,before if(conditionsToCheck
1.319,0.454,StateMachine,before this.everyTime
1.319,0.441,StateMachine,after this.everyTime
1.320,0.532,StateMachine,run completed
1.320,0.454,Mainline,Ending state machine pass
1.321,0.382,Mainline,Begining state machine pass
1.321,0.381,StateMachine,before if(conditionsToCheck
1.324,3.187,StateMachine,before this.everyTime
1.325,0.882,StateMachine,after this.everyTime
1.327,1.476,StateMachine,run completed
1.328,0.969,Mainline,Ending state machine pass
1.328,0.527,Mainline,Begining state machine pass
1.330,1.497,StateMachine,before if(conditionsToCheck
1.330,0.876,StateMachine,before this.everyTime
1.331,0.925,StateMachine,after this.everyTime
1.332,0.487,StateMachine,run completed
1.332,0.533,Mainline,Ending state machine pass
1.333,0.422,Mainline,Begining state machine pass
1.334,0.739,StateMachine,before if(conditionsToCheck
1.334,0.637,StateMachine,before this.everyTime
1.335,0.706,StateMachine,after this.everyTime
1.336,0.714,StateMachine,run completed
1.337,0.882,Mainline,Ending state machine pass
1.337,0.544,Mainline,Begining state machine pass
1.338,0.598,StateMachine,before if(conditionsToCheck
1.338,0.517,StateMachine,before this.everyTime
1.339,0.604,StateMachine,after this.everyTime
1.339,0.515,StateMachine,run completed
1.340,0.852,Mainline,Ending state machine pass
1.341,0.497,Mainline,Begining state machine pass
1.341,0.846,StateMachine,before if(conditionsToCheck
1.342,0.636,StateMachine,before this.everyTime
1.343,0.587,StateMachine,after this.everyTime
1.343,0.463,StateMachine,run completed
1.344,0.804,Mainline,Ending state machine pass
1.344,0.521,Mainline,Begining state machine pass
1.345,0.778,StateMachine,before if(conditionsToCheck
1.346,0.560,StateMachine,before this.everyTime
1.346,0.622,StateMachine,after this.everyTime
1.347,0.410,StateMachine,run completed
1.347,0.616,Mainline,Ending state machine pass
1.348,0.462,Mainline,Begining state machine pass
1.349,0.630,StateMachine,before if(conditionsToCheck
1.350,1.004,StateMachine,before this.everyTime
1.350,0.824,StateMachine,after this.everyTime
1.351,0.400,StateMachine,run completed
1.351,0.539,Mainline,Ending state machine pass
1.352,0.501,Mainline,Begining state machine pass
1.353,1.015,StateMachine,before if(conditionsToCheck
1.353,0.630,StateMachine,before this.everyTime
1.354,0.968,StateMachine,after this.everyTime
1.355,0.540,StateMachine,run completed
1.356,0.597,Mainline,Ending state machine pass
1.356,0.513,Mainline,Begining state machine pass
1.357,0.727,StateMachine,before if(conditionsToCheck
1.357,0.598,StateMachine,before this.everyTime
1.358,0.756,StateMachine,after this.everyTime
1.359,0.416,StateMachine,run completed
1.359,0.711,Mainline,Ending state machine pass
1.360,0.626,Mainline,Begining state machine pass
1.361,1.001,StateMachine,before if(conditionsToCheck
1.362,0.613,StateMachine,before this.everyTime
1.362,0.823,StateMachine,after this.everyTime
1.363,0.465,StateMachine,run completed
1.364,0.678,Mainline,Ending state machine pass
1.364,0.422,Mainline,Begining state machine pass
1.365,0.694,StateMachine,before if(conditionsToCheck
1.365,0.763,StateMachine,before this.everyTime
1.366,0.807,StateMachine,after this.everyTime
1.367,0.423,StateMachine,run completed
1.367,0.873,Mainline,Ending state machine pass
1.368,0.668,Mainline,Begining state machine pass
1.369,0.845,StateMachine,before if(conditionsToCheck
1.370,0.569,StateMachine,before this.everyTime
1.370,0.724,StateMachine,after this.everyTime
1.371,0.391,StateMachine,run completed
1.371,0.450,Mainline,Ending state machine pass
1.372,0.443,Mainline,Begining state machine pass
1.372,0.870,StateMachine,before if(conditionsToCheck
1.374,1.428,StateMachine,before this.everyTime
1.375,1.090,StateMachine,after this.everyTime
1.375,0.498,StateMachine,run completed
1.377,1.178,Mainline,Ending state machine pass
1.378,1.456,Mainline,Begining state machine pass
1.379,0.649,StateMachine,before if(conditionsToCheck
1.380,1.540,StateMachine,before this.everyTime
1.382,1.654,StateMachine,after this.everyTime
1.384,2.011,StateMachine,run completed
1.387,3.436,Mainline,Ending state machine pass
1.390,3.040,Mainline,Begining state machine pass
1.391,0.933,StateMachine,before if(conditionsToCheck
1.392,1.070,StateMachine,before this.everyTime
1.394,1.112,StateMachine,after this.everyTime
1.394,0.898,StateMachine,run completed
1.395,0.531,Mainline,Ending state machine pass
1.396,0.564,Mainline,Begining state machine pass
1.397,1.050,StateMachine,before if(conditionsToCheck
1.398,1.498,StateMachine,before this.everyTime
1.400,1.493,StateMachine,after this.everyTime
1.400,0.773,StateMachine,run completed
1.402,1.501,Mainline,Ending state machine pass
1.403,0.730,Mainline,Begining state machine pass
1.403,0.508,StateMachine,before if(conditionsToCheck
1.404,0.909,StateMachine,before this.everyTime
1.404,0.461,StateMachine,after this.everyTime
1.405,0.678,StateMachine,run completed
1.406,0.471,Mainline,Ending state machine pass
1.406,0.698,Mainline,Begining state machine pass
1.407,0.440,StateMachine,before if(conditionsToCheck
1.407,0.684,StateMachine,before this.everyTime
1.408,0.502,StateMachine,after this.everyTime
1.409,0.630,StateMachine,run completed
1.409,0.826,Mainline,Ending state machine pass
1.410,0.825,Mainline,Begining state machine pass
1.411,0.585,StateMachine,before if(conditionsToCheck
1.412,1.102,StateMachine,before this.everyTime
1.412,0.504,StateMachine,after this.everyTime
1.413,0.706,StateMachine,run completed
1.414,0.403,Mainline,Ending state machine pass
1.414,0.654,Mainline,Begining state machine pass
1.415,1.050,StateMachine,before if(conditionsToCheck
1.416,1.006,StateMachine,before this.everyTime
1.417,0.489,StateMachine,after this.everyTime
1.418,0.830,StateMachine,run completed
1.418,0.464,Mainline,Ending state machine pass
1.419,0.713,Mainline,Begining state machine pass
1.419,0.514,StateMachine,before if(conditionsToCheck
1.420,1.229,StateMachine,before this.everyTime
1.421,0.523,StateMachine,after this.everyTime
1.422,0.592,StateMachine,run completed
1.422,0.410,Mainline,Ending state machine pass
1.423,0.603,Mainline,Begining state machine pass
1.423,0.531,StateMachine,before if(conditionsToCheck
1.424,0.861,StateMachine,before this.everyTime
1.425,0.527,StateMachine,after this.everyTime
1.425,0.972,StateMachine,run completed
1.426,0.516,Mainline,Ending state machine pass
1.427,0.555,Mainline,Begining state machine pass
1.427,0.495,StateMachine,before if(conditionsToCheck
1.428,0.885,StateMachine,before this.everyTime
1.428,0.456,StateMachine,after this.everyTime
1.429,0.672,StateMachine,run completed
1.430,0.524,Mainline,Ending state machine pass
1.430,0.737,Mainline,Begining state machine pass
1.431,1.168,StateMachine,before if(conditionsToCheck
1.432,0.861,StateMachine,before this.everyTime
1.433,0.462,StateMachine,after this.everyTime
1.433,0.618,StateMachine,run completed
1.434,0.480,Mainline,Ending state machine pass
1.435,1.261,Mainline,Begining state machine pass
1.436,0.951,StateMachine,before if(conditionsToCheck
1.437,0.808,StateMachine,before this.everyTime
1.438,0.654,StateMachine,after this.everyTime
1.438,0.659,StateMachine,run completed
1.439,0.919,Mainline,Ending state machine pass
1.440,0.831,Mainline,Begining state machine pass
1.441,0.548,StateMachine,before if(conditionsToCheck
1.442,1.078,StateMachine,before this.everyTime
1.442,0.538,StateMachine,after this.everyTime
1.443,0.740,StateMachine,run completed
1.443,0.415,Mainline,Ending state machine pass
1.444,0.609,Mainline,Begining state machine pass
1.444,0.545,StateMachine,before if(conditionsToCheck
1.445,0.912,StateMachine,before this.everyTime
1.446,0.456,StateMachine,after this.everyTime
1.446,0.541,StateMachine,run completed
1.447,0.922,Mainline,Ending state machine pass
1.448,0.841,Mainline,Begining state machine pass
1.449,0.488,StateMachine,before if(conditionsToCheck
1.449,0.842,StateMachine,before this.everyTime
1.450,0.866,StateMachine,after this.everyTime
1.451,0.713,StateMachine,run completed
1.452,0.470,Mainline,Ending state machine pass
1.452,0.866,Mainline,Begining state machine pass
1.453,0.557,StateMachine,before if(conditionsToCheck
1.454,0.701,StateMachine,before this.everyTime
1.454,0.445,StateMachine,after this.everyTime
1.455,0.585,StateMachine,run completed
1.455,0.468,Mainline,Ending state machine pass
1.456,0.800,Mainline,Begining state machine pass
1.456,0.468,StateMachine,before if(conditionsToCheck
1.457,0.736,StateMachine,before this.everyTime
1.458,0.580,StateMachine,after this.everyTime
1.458,0.725,StateMachine,run completed
1.459,0.681,Mainline,Ending state machine pass
1.460,0.520,Mainline,Begining state machine pass
1.461,1.410,StateMachine,before if(conditionsToCheck
1.462,0.782,StateMachine,before this.everyTime
1.463,0.716,StateMachine,after this.everyTime
1.463,0.498,StateMachine,run completed
1.464,0.595,Mainline,Ending state machine pass
1.465,0.978,Mainline,Begining state machine pass
1.466,1.720,StateMachine,before if(conditionsToCheck
1.467,0.684,StateMachine,before this.everyTime
1.469,1.701,StateMachine,after this.everyTime
1.470,0.863,StateMachine,run completed
1.470,0.837,Mainline,Ending state machine pass
1.471,0.909,Mainline,Begining state machine pass
1.472,0.580,StateMachine,before if(conditionsToCheck
1.473,0.870,StateMachine,before this.everyTime
1.473,0.489,StateMachine,after this.everyTime
1.474,1.119,StateMachine,run completed
1.475,0.475,Mainline,Ending state machine pass
1.476,1.156,Mainline,Begining state machine pass
1.477,0.791,StateMachine,before if(conditionsToCheck
1.478,0.769,StateMachine,before this.everyTime
1.478,0.541,StateMachine,after this.everyTime
1.479,0.548,StateMachine,run completed
1.479,0.738,Mainline,Ending state machine pass
1.481,1.117,Mainline,Begining state machine pass
1.481,0.563,StateMachine,before if(conditionsToCheck
1.482,0.902,StateMachine,before this.everyTime
1.483,0.556,StateMachine,after this.everyTime
1.483,0.737,StateMachine,run completed
1.484,0.601,Mainline,Ending state machine pass
1.486,2.552,Mainline,Begining state machine pass
1.488,1.936,StateMachine,before if(conditionsToCheck
1.489,0.638,StateMachine,before this.everyTime
1.490,0.736,StateMachine,after this.everyTime
1.490,0.470,StateMachine,run completed
1.491,0.682,Mainline,Ending state machine pass
1.492,0.792,Mainline,Begining state machine pass
1.493,0.998,StateMachine,before if(conditionsToCheck
1.494,0.897,StateMachine,before this.everyTime
1.495,1.588,StateMachine,after this.everyTime
1.496,0.587,StateMachine,run completed
1.497,1.534,Mainline,Ending state machine pass
1.498,0.857,Mainline,Begining state machine pass
1.499,0.651,StateMachine,before if(conditionsToCheck
1.499,0.575,StateMachine,before this.everyTime
1.500,0.875,StateMachine,after this.everyTime
1.501,0.493,StateMachine,run completed
1.501,0.613,Mainline,Ending state machine pass
1.502,0.439,Mainline,Begining state machine pass
1.502,0.604,StateMachine,before if(conditionsToCheck
1.503,0.619,StateMachine,before this.everyTime
1.504,0.571,StateMachine,after this.everyTime
1.504,0.411,StateMachine,run completed
1.505,0.532,Mainline,Ending state machine pass
1.505,0.506,Mainline,Begining state machine pass
1.506,0.560,StateMachine,before if(conditionsToCheck
1.506,0.590,StateMachine,before this.everyTime
1.507,0.593,StateMachine,after this.everyTime
1.507,0.484,StateMachine,run completed
1.508,0.676,Mainline,Ending state machine pass
1.509,0.558,Mainline,Begining state machine pass
1.509,0.759,StateMachine,before if(conditionsToCheck
1.510,0.685,StateMachine,before this.everyTime
1.511,0.573,StateMachine,after this.everyTime
1.511,0.426,StateMachine,run completed
1.512,0.666,Mainline,Ending state machine pass
1.512,0.494,Mainline,Begining state machine pass
1.513,0.764,StateMachine,before if(conditionsToCheck
1.513,0.548,StateMachine,before this.everyTime
1.514,0.637,StateMachine,after this.everyTime
1.515,0.443,StateMachine,run completed
1.515,0.755,Mainline,Ending state machine pass
1.516,0.423,Mainline,Begining state machine pass
1.516,0.684,StateMachine,before if(conditionsToCheck
1.517,0.644,StateMachine,before this.everyTime
1.518,0.632,StateMachine,after this.everyTime
1.518,0.507,StateMachine,run completed
1.519,0.569,Mainline,Ending state machine pass
1.519,0.458,Mainline,Begining state machine pass
1.520,0.723,StateMachine,before if(conditionsToCheck
1.520,0.556,StateMachine,before this.everyTime
1.521,0.638,StateMachine,after this.everyTime
1.522,0.435,StateMachine,run completed
1.522,0.677,Mainline,Ending state machine pass
1.523,0.547,Mainline,Begining state machine pass
1.523,0.663,StateMachine,before if(conditionsToCheck
1.524,0.613,StateMachine,before this.everyTime
1.525,0.694,StateMachine,after this.everyTime
1.525,0.463,StateMachine,run completed
1.526,0.633,Mainline,Ending state machine pass
1.526,0.500,Mainline,Begining state machine pass
1.527,0.813,StateMachine,before if(conditionsToCheck
1.528,0.589,StateMachine,before this.everyTime
1.528,0.718,StateMachine,after this.everyTime
1.529,0.492,StateMachine,run completed
1.530,0.699,Mainline,Ending state machine pass
1.530,0.496,Mainline,Begining state machine pass
1.531,0.744,StateMachine,before if(conditionsToCheck
1.531,0.609,StateMachine,before this.everyTime
1.532,0.774,StateMachine,after this.everyTime
1.533,0.438,StateMachine,run completed
1.533,0.536,Mainline,Ending state machine pass
1.534,0.473,Mainline,Begining state machine pass
1.534,0.751,StateMachine,before if(conditionsToCheck
1.535,0.610,StateMachine,before this.everyTime
1.536,0.845,StateMachine,after this.everyTime
1.536,0.454,StateMachine,run completed
1.537,0.744,Mainline,Ending state machine pass
1.538,0.414,Mainline,Begining state machine pass
1.539,0.996,StateMachine,before if(conditionsToCheck
1.539,0.638,StateMachine,before this.everyTime
1.540,0.822,StateMachine,after this.everyTime
1.540,0.511,StateMachine,run completed
1.541,0.775,Mainline,Ending state machine pass
1.542,0.441,Mainline,Begining state machine pass
1.542,0.578,StateMachine,before if(conditionsToCheck
1.543,0.494,StateMachine,before this.everyTime
1.543,0.679,StateMachine,after this.everyTime
1.544,0.424,StateMachine,run completed
1.545,0.773,Mainline,Ending state machine pass
1.545,0.487,Mainline,Begining state machine pass
1.546,0.851,StateMachine,before if(conditionsToCheck
1.547,0.549,StateMachine,before this.everyTime
1.547,0.715,StateMachine,after this.everyTime
1.548,0.417,StateMachine,run completed
1.548,0.745,Mainline,Ending state machine pass
1.549,0.507,Mainline,Begining state machine pass
1.550,0.606,StateMachine,before if(conditionsToCheck
1.550,0.666,StateMachine,before this.everyTime
1.551,0.620,StateMachine,after this.everyTime
1.551,0.433,StateMachine,run completed
1.552,0.757,Mainline,Ending state machine pass
1.553,0.552,Mainline,Begining state machine pass
1.553,0.716,StateMachine,before if(conditionsToCheck
1.554,0.998,StateMachine,before this.everyTime
1.555,0.826,StateMachine,after this.everyTime
1.556,0.425,StateMachine,run completed
1.556,0.935,Mainline,Ending state machine pass
1.557,0.524,Mainline,Begining state machine pass
1.558,0.709,StateMachine,before if(conditionsToCheck
1.558,0.640,StateMachine,before this.everyTime
1.559,0.934,StateMachine,after this.everyTime
1.561,1.418,StateMachine,run completed
1.562,1.601,Mainline,Ending state machine pass
1.563,0.501,Mainline,Begining state machine pass
1.563,0.712,StateMachine,before if(conditionsToCheck
1.564,0.581,StateMachine,before this.everyTime
1.565,0.685,StateMachine,after this.everyTime
1.565,0.444,StateMachine,run completed
1.566,0.900,Mainline,Ending state machine pass
1.567,0.988,Mainline,Begining state machine pass
1.568,0.554,StateMachine,before if(conditionsToCheck
1.568,0.537,StateMachine,before this.everyTime
1.569,0.751,StateMachine,after this.everyTime
1.569,0.430,StateMachine,run completed
1.570,0.789,Mainline,Ending state machine pass
1.571,0.412,Mainline,Begining state machine pass
1.571,0.620,StateMachine,before if(conditionsToCheck
1.572,0.554,StateMachine,before this.everyTime
1.573,0.764,StateMachine,after this.everyTime
1.574,1.315,StateMachine,run completed
1.575,0.738,Mainline,Ending state machine pass
1.575,0.500,Mainline,Begining state machine pass
1.576,0.611,StateMachine,before if(conditionsToCheck
1.576,0.572,StateMachine,before this.everyTime
1.578,1.848,StateMachine,after this.everyTime
1.579,0.895,StateMachine,run completed
1.580,0.564,Mainline,Ending state machine pass
1.580,0.657,Mainline,Begining state machine pass
1.581,1.210,StateMachine,before if(conditionsToCheck
1.583,1.395,StateMachine,before this.everyTime
1.583,0.644,StateMachine,after this.everyTime
1.584,0.543,StateMachine,run completed
1.585,0.514,Mainline,Ending state machine pass
1.586,1.052,Mainline,Begining state machine pass
1.587,0.998,StateMachine,before if(conditionsToCheck
1.587,0.703,StateMachine,before this.everyTime
1.588,0.921,StateMachine,after this.everyTime
1.589,0.738,StateMachine,run completed
1.590,0.674,Mainline,Ending state machine pass
1.590,0.537,Mainline,Begining state machine pass
1.591,0.722,StateMachine,before if(conditionsToCheck
1.591,0.583,StateMachine,before this.everyTime
1.592,0.692,StateMachine,after this.everyTime
1.593,0.383,StateMachine,run completed
1.593,0.771,Mainline,Ending state machine pass
1.594,0.520,Mainline,Begining state machine pass
1.595,1.202,StateMachine,before if(conditionsToCheck
1.596,0.636,StateMachine,before this.everyTime
1.596,0.785,StateMachine,after this.everyTime
1.598,1.125,StateMachine,run completed
1.598,0.691,Mainline,Ending state machine pass
1.599,0.704,Mainline,Begining state machine pass
1.601,1.578,StateMachine,before if(conditionsToCheck
1.601,0.697,StateMachine,before this.everyTime
1.602,0.601,StateMachine,after this.everyTime
1.602,0.486,StateMachine,run completed
1.603,0.706,Mainline,Ending state machine pass
1.603,0.434,Mainline,Begining state machine pass
1.604,0.961,StateMachine,before if(conditionsToCheck
1.605,0.980,StateMachine,before this.everyTime
1.606,0.700,StateMachine,after this.everyTime
1.607,0.452,StateMachine,run completed
1.607,0.706,Mainline,Ending state machine pass
1.608,0.416,Mainline,Begining state machine pass
1.608,0.687,StateMachine,before if(conditionsToCheck
1.609,1.048,StateMachine,before this.everyTime
1.610,0.916,StateMachine,after this.everyTime
1.611,0.476,StateMachine,run completed
1.611,0.619,Mainline,Ending state machine pass
1.612,0.498,Mainline,Begining state machine pass
1.613,0.762,StateMachine,before if(conditionsToCheck
1.614,1.406,StateMachine,before this.everyTime
1.615,0.833,StateMachine,after this.everyTime
1.615,0.478,StateMachine,run completed
