sec,r.init,r.init was invoked (a)
0.002,1.826,robot,pushButton was invoked
0.004,2.036,robot,resetMotorEncoders was called
0.005,1.339,robot,enableMotorEncoders was called
0.007,2.139,r.init,r.init finished (a)
0.009,1.771,autonomous,Done with robot.init --- starting p.init
0.010,1.508,autonomous,Done with pm.init --- waiting for start
0.011,1.088,autonomous,Started
1.143,1131.153,Mainline,Begining state machine pass
1.144,0.979,robot,move was called - f:r:s: 1.00 : 0.00 : 0.00
1.145,1.833,StateMachine,Execution of clear el wall has started
1.146,0.929,StateMachine,after this.isFirstTime = false
1.147,0.575,StateMachine,before if(conditionsToCheck
1.147,0.500,StateMachine,before this.everyTime
1.148,0.509,StateMachine,after this.everyTime
1.148,0.492,StateMachine,run completed
1.149,0.673,Mainline,Ending state machine pass
1.151,1.427,Mainline,Begining state machine pass
1.152,1.113,StateMachine,before if(conditionsToCheck
1.153,1.044,StateMachine,before this.everyTime
1.154,0.942,StateMachine,after this.everyTime
1.154,0.574,StateMachine,run completed
1.155,0.502,Mainline,Ending state machine pass
1.156,0.849,Mainline,Begining state machine pass
1.156,0.597,StateMachine,before if(conditionsToCheck
1.157,0.638,StateMachine,before this.everyTime
1.157,0.492,StateMachine,after this.everyTime
1.158,0.454,StateMachine,run completed
1.158,0.447,Mainline,Ending state machine pass
1.159,0.380,Mainline,Begining state machine pass
1.159,0.416,StateMachine,before if(conditionsToCheck
1.160,0.632,StateMachine,before this.everyTime
1.160,0.630,StateMachine,after this.everyTime
1.161,1.100,StateMachine,run completed
1.162,0.487,Mainline,Ending state machine pass
1.162,0.491,Mainline,Begining state machine pass
1.163,0.489,StateMachine,before if(conditionsToCheck
1.163,0.601,StateMachine,before this.everyTime
1.164,0.550,StateMachine,after this.everyTime
1.165,0.615,StateMachine,run completed
1.166,1.779,Mainline,Ending state machine pass
1.168,1.949,Mainline,Begining state machine pass
1.169,0.661,StateMachine,before if(conditionsToCheck
1.170,1.207,StateMachine,before this.everyTime
1.171,0.661,StateMachine,after this.everyTime
1.171,0.550,StateMachine,run completed
1.172,0.527,Mainline,Ending state machine pass
1.173,0.677,Mainline,Begining state machine pass
1.173,0.650,StateMachine,before if(conditionsToCheck
1.174,0.722,StateMachine,before this.everyTime
1.174,0.497,StateMachine,after this.everyTime
1.175,0.444,StateMachine,run completed
1.175,0.486,Mainline,Ending state machine pass
1.176,0.498,Mainline,Begining state machine pass
1.176,0.521,StateMachine,before if(conditionsToCheck
1.177,0.671,StateMachine,before this.everyTime
1.178,0.592,StateMachine,after this.everyTime
1.178,0.550,StateMachine,run completed
1.179,0.462,Mainline,Ending state machine pass
1.179,0.498,Mainline,Begining state machine pass
1.180,0.700,StateMachine,before if(conditionsToCheck
1.181,1.461,StateMachine,before this.everyTime
1.183,1.229,StateMachine,after this.everyTime
1.184,1.036,StateMachine,run completed
1.184,0.609,Mainline,Ending state machine pass
1.185,0.568,Mainline,Begining state machine pass
1.185,0.668,StateMachine,before if(conditionsToCheck
1.186,0.658,StateMachine,before this.everyTime
1.187,0.467,StateMachine,after this.everyTime
1.187,0.440,StateMachine,run completed
1.187,0.444,Mainline,Ending state machine pass
1.188,0.470,Mainline,Begining state machine pass
1.189,1.060,StateMachine,before if(conditionsToCheck
1.190,0.807,StateMachine,before this.everyTime
1.190,0.562,StateMachine,after this.everyTime
1.191,0.494,StateMachine,run completed
1.191,0.447,Mainline,Ending state machine pass
1.192,0.512,Mainline,Begining state machine pass
1.193,0.677,StateMachine,before if(conditionsToCheck
1.193,0.551,StateMachine,before this.everyTime
1.194,0.466,StateMachine,after this.everyTime
1.195,1.115,StateMachine,run completed
1.195,0.463,Mainline,Ending state machine pass
1.196,0.569,Mainline,Begining state machine pass
1.196,0.575,StateMachine,before if(conditionsToCheck
1.197,0.659,StateMachine,before this.everyTime
1.197,0.532,StateMachine,after this.everyTime
1.198,1.026,StateMachine,run completed
1.200,1.300,Mainline,Ending state machine pass
1.200,0.732,Mainline,Begining state machine pass
1.201,0.588,StateMachine,before if(conditionsToCheck
1.202,0.664,StateMachine,before this.everyTime
1.202,0.602,StateMachine,after this.everyTime
1.203,0.411,StateMachine,run completed
1.203,0.460,Mainline,Ending state machine pass
1.204,0.518,Mainline,Begining state machine pass
1.204,0.508,StateMachine,before if(conditionsToCheck
1.205,1.071,StateMachine,before this.everyTime
1.206,0.671,StateMachine,after this.everyTime
1.206,0.504,StateMachine,run completed
1.207,0.446,Mainline,Ending state machine pass
1.207,0.506,Mainline,Begining state machine pass
1.208,0.551,StateMachine,before if(conditionsToCheck
1.209,0.617,StateMachine,before this.everyTime
1.209,0.587,StateMachine,after this.everyTime
1.210,0.689,StateMachine,run completed
1.210,0.500,Mainline,Ending state machine pass
1.211,0.614,Mainline,Begining state machine pass
1.211,0.493,StateMachine,before if(conditionsToCheck
1.212,0.584,StateMachine,before this.everyTime
1.212,0.408,StateMachine,after this.everyTime
1.213,0.376,StateMachine,run completed
1.213,0.370,Mainline,Ending state machine pass
1.214,0.402,Mainline,Begining state machine pass
1.214,0.451,StateMachine,before if(conditionsToCheck
1.215,0.567,StateMachine,before this.everyTime
1.215,0.484,StateMachine,after this.everyTime
1.216,0.419,StateMachine,run completed
1.216,0.419,Mainline,Ending state machine pass
1.216,0.433,Mainline,Begining state machine pass
1.217,0.413,StateMachine,before if(conditionsToCheck
1.217,0.567,StateMachine,before this.everyTime
1.218,0.414,StateMachine,after this.everyTime
1.218,0.351,StateMachine,run completed
1.218,0.292,Mainline,Ending state machine pass
1.219,0.287,Mainline,Begining state machine pass
1.219,0.430,StateMachine,before if(conditionsToCheck
1.220,0.638,StateMachine,before this.everyTime
1.220,0.421,StateMachine,after this.everyTime
1.221,0.333,StateMachine,run completed
1.221,0.313,Mainline,Ending state machine pass
1.221,0.381,Mainline,Begining state machine pass
1.222,0.425,StateMachine,before if(conditionsToCheck
1.222,0.531,StateMachine,before this.everyTime
1.223,0.366,StateMachine,after this.everyTime
1.223,0.360,StateMachine,run completed
1.223,0.378,Mainline,Ending state machine pass
1.224,0.487,Mainline,Begining state machine pass
1.224,0.409,StateMachine,before if(conditionsToCheck
1.225,0.456,StateMachine,before this.everyTime
1.225,0.413,StateMachine,after this.everyTime
1.226,0.474,StateMachine,run completed
1.226,0.369,Mainline,Ending state machine pass
1.226,0.368,Mainline,Begining state machine pass
1.227,0.350,StateMachine,before if(conditionsToCheck
1.227,0.567,StateMachine,before this.everyTime
1.228,0.420,StateMachine,after this.everyTime
1.228,0.398,StateMachine,run completed
1.228,0.335,Mainline,Ending state machine pass
1.229,0.366,Mainline,Begining state machine pass
1.229,0.637,StateMachine,before if(conditionsToCheck
1.230,0.880,StateMachine,before this.everyTime
1.231,0.395,StateMachine,after this.everyTime
1.231,0.383,StateMachine,run completed
1.232,0.546,Mainline,Ending state machine pass
1.232,0.448,Mainline,Begining state machine pass
1.232,0.462,StateMachine,before if(conditionsToCheck
1.233,0.728,StateMachine,before this.everyTime
1.234,0.640,StateMachine,after this.everyTime
1.235,0.887,StateMachine,run completed
1.235,0.536,Mainline,Ending state machine pass
1.236,0.887,Mainline,Begining state machine pass
1.237,0.382,StateMachine,before if(conditionsToCheck
1.237,0.458,StateMachine,before this.everyTime
1.237,0.364,StateMachine,after this.everyTime
1.238,0.363,StateMachine,run completed
1.238,0.329,Mainline,Ending state machine pass
1.238,0.391,Mainline,Begining state machine pass
1.239,0.402,StateMachine,before if(conditionsToCheck
1.239,0.507,StateMachine,before this.everyTime
1.240,0.542,StateMachine,after this.everyTime
1.240,0.419,StateMachine,run completed
1.241,0.322,Mainline,Ending state machine pass
1.241,0.769,Mainline,Begining state machine pass
1.242,0.466,StateMachine,before if(conditionsToCheck
1.243,0.718,StateMachine,before this.everyTime
1.244,1.125,StateMachine,after this.everyTime
1.244,0.509,StateMachine,run completed
1.245,0.364,Mainline,Ending state machine pass
1.245,0.382,Mainline,Begining state machine pass
1.245,0.431,StateMachine,before if(conditionsToCheck
1.248,2.299,StateMachine,before this.everyTime
1.249,1.474,StateMachine,after this.everyTime
1.251,1.856,StateMachine,run completed
1.252,0.601,Mainline,Ending state machine pass
1.252,0.831,Mainline,Begining state machine pass
1.253,0.853,StateMachine,before if(conditionsToCheck
1.254,1.152,StateMachine,before this.everyTime
1.256,1.197,StateMachine,after this.everyTime
1.256,0.849,StateMachine,run completed
1.257,0.495,Mainline,Ending state machine pass
1.258,1.057,Mainline,Begining state machine pass
