sec,d ms,r.init,r.init was invoked (a)
0.002,1.524,r.init,debug mode is false
0.002,0.787,robot,pushButton was invoked with button 0
3.447,3444.911,robot,resetMotorEncoders was called
3.461,13.584,robot,enableMotorEncoders was called
3.494,32.874,r.init,r.init finished (a)
3.572,78.607,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.574,1.154,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.776,202.115,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.521,4745.185,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.579,58.186,in TeleOp_Revised,top of main loop
8.580,0.865,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.680,100.098,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.682,1.973,in TeleOp_Revised,top of main loop
8.683,0.823,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.685,2.559,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.687,1.959,in TeleOp_Revised,top of main loop
8.688,0.833,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.690,2.343,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.692,1.595,in TeleOp_Revised,top of main loop
8.693,0.741,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.696,2.850,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.698,2.197,in TeleOp_Revised,top of main loop
8.699,0.676,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.701,2.993,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.703,1.645,in TeleOp_Revised,top of main loop
8.704,1.054,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.707,3.009,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.709,1.735,in TeleOp_Revised,top of main loop
8.710,1.364,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.715,4.283,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.716,1.304,in TeleOp_Revised,top of main loop
8.717,0.615,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.718,1.919,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.720,1.224,in TeleOp_Revised,top of main loop
8.720,0.589,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.722,2.228,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.724,1.243,in TeleOp_Revised,top of main loop
8.724,0.601,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.726,1.824,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.727,1.225,in TeleOp_Revised,top of main loop
8.728,0.602,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.731,2.744,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.732,1.306,in TeleOp_Revised,top of main loop
8.733,0.626,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.734,1.802,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.736,1.184,in TeleOp_Revised,top of main loop
