sec,d ms,r.init,r.init was invoked (a)
0.001,0.713,r.init,debug mode is false
0.003,2.072,robot,pushButton was invoked with button 0
4.110,4106.817,robot,resetMotorEncoders was called
4.124,13.985,robot,enableMotorEncoders was called
4.184,59.865,r.init,r.init finished (a)
4.242,57.836,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.675,3433.383,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.890,215.217,in TeleOp_Revised,top of main loop
7.891,1.003,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.992,100.282,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.996,4.745,in TeleOp_Revised,top of main loop
7.998,1.526,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.002,3.963,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.005,3.431,in TeleOp_Revised,top of main loop
8.006,0.767,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.009,2.755,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.010,1.228,in TeleOp_Revised,top of main loop
8.011,0.607,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.013,2.285,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.014,1.219,in TeleOp_Revised,top of main loop
8.015,0.775,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.017,2.237,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.019,1.592,in TeleOp_Revised,top of main loop
8.019,0.617,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.022,2.576,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.024,1.609,in TeleOp_Revised,top of main loop
8.025,1.825,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.028,2.907,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.033,4.773,in TeleOp_Revised,top of main loop
8.035,1.849,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.037,2.401,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.040,2.624,in TeleOp_Revised,top of main loop
8.041,1.148,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.045,4.203,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.047,1.770,in TeleOp_Revised,top of main loop
8.048,0.554,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.051,2.964,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.052,1.487,in TeleOp_Revised,top of main loop
8.053,1.376,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.056,2.422,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.057,1.492,in TeleOp_Revised,top of main loop
8.058,0.647,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.061,3.197,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.063,2.013,in TeleOp_Revised,top of main loop
8.064,0.913,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.066,1.655,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.067,1.644,in TeleOp_Revised,top of main loop
