sec,d ms,r.init,r.init was invoked (a)
0.001,0.561,r.init,debug mode is false
0.002,0.833,robot,pushButton was invoked with button 0
4.138,4136.551,robot,resetMotorEncoders was called
4.144,5.572,robot,enableMotorEncoders was called
4.177,33.501,r.init,r.init finished (a)
4.253,75.138,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.503,4250.795,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.670,166.670,in TeleOp_Revised,top of main loop
8.671,0.724,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.715,44.013,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.716,1.515,in TeleOp_Revised,top of main loop
8.717,0.961,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.733,15.485,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.734,1.576,in TeleOp_Revised,top of main loop
8.736,1.210,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.741,5.624,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.743,1.477,in TeleOp_Revised,top of main loop
8.744,1.017,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.769,25.671,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.771,1.474,in TeleOp_Revised,top of main loop
8.772,0.951,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.776,3.763,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.777,1.959,in TeleOp_Revised,top of main loop
8.779,1.089,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.780,1.531,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.783,2.425,in TeleOp_Revised,top of main loop
8.783,0.592,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.786,2.428,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.787,1.371,in TeleOp_Revised,top of main loop
8.788,1.266,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.790,1.569,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.791,1.302,in TeleOp_Revised,top of main loop
8.792,0.507,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.793,1.663,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.794,1.091,in TeleOp_Revised,top of main loop
8.795,0.804,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.799,3.871,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.801,1.985,in TeleOp_Revised,top of main loop
8.802,0.940,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.804,1.981,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.805,1.042,in TeleOp_Revised,top of main loop
8.806,0.724,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.807,1.501,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.809,1.949,in TeleOp_Revised,top of main loop
8.811,1.466,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.813,1.970,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.816,2.993,in TeleOp_Revised,top of main loop
8.816,0.709,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.819,2.614,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.822,2.897,in TeleOp_Revised,top of main loop
8.823,0.835,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.829,6.881,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.831,1.725,in TeleOp_Revised,top of main loop
8.832,0.703,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.834,1.889,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.835,1.064,in TeleOp_Revised,top of main loop
8.836,1.194,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.837,1.405,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.839,1.802,in TeleOp_Revised,top of main loop
8.840,0.781,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.842,1.458,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.843,0.998,in TeleOp_Revised,top of main loop
8.843,0.517,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.845,1.508,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.846,1.851,in TeleOp_Revised,top of main loop
8.847,0.608,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.849,1.571,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.850,1.183,in TeleOp_Revised,top of main loop
8.850,0.619,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.852,1.393,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.853,1.514,in TeleOp_Revised,top of main loop
8.854,0.524,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.856,2.390,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.857,1.026,in TeleOp_Revised,top of main loop
8.858,0.535,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.859,1.573,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.860,1.014,in TeleOp_Revised,top of main loop
8.861,0.504,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.862,1.367,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.863,0.946,in TeleOp_Revised,top of main loop
8.864,0.451,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.865,1.372,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.866,1.128,in TeleOp_Revised,top of main loop
8.867,0.543,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.868,1.798,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.869,1.050,in TeleOp_Revised,top of main loop
8.870,0.818,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.872,1.461,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.873,1.057,in TeleOp_Revised,top of main loop
8.874,0.779,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.875,1.390,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.877,2.053,in TeleOp_Revised,top of main loop
8.878,0.619,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.879,1.819,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.881,1.047,in TeleOp_Revised,top of main loop
8.881,0.570,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.883,1.701,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.884,1.551,in TeleOp_Revised,top of main loop
8.885,0.503,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.886,1.513,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.887,1.000,in TeleOp_Revised,top of main loop
8.888,0.879,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.890,1.756,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.891,0.996,in TeleOp_Revised,top of main loop
8.892,0.866,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.893,1.408,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.894,1.178,in TeleOp_Revised,top of main loop
8.895,0.582,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.897,1.490,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.898,1.049,in TeleOp_Revised,top of main loop
8.898,0.600,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.900,1.431,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.901,0.940,in TeleOp_Revised,top of main loop
8.901,0.513,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.903,1.481,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.904,1.132,in TeleOp_Revised,top of main loop
8.904,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.906,1.293,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.907,1.186,in TeleOp_Revised,top of main loop
8.907,0.571,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.910,2.685,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.911,1.251,in TeleOp_Revised,top of main loop
8.912,0.526,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.913,1.320,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.914,0.968,in TeleOp_Revised,top of main loop
8.915,0.506,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.916,1.370,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.917,0.985,in TeleOp_Revised,top of main loop
8.917,0.515,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.919,1.523,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.920,1.035,in TeleOp_Revised,top of main loop
8.921,0.531,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.922,1.349,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.923,0.955,in TeleOp_Revised,top of main loop
8.923,0.559,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.925,1.915,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.927,1.308,in TeleOp_Revised,top of main loop
8.927,0.583,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.929,1.509,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.930,1.648,in TeleOp_Revised,top of main loop
8.931,0.618,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.933,2.218,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.934,1.034,in TeleOp_Revised,top of main loop
8.935,0.734,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.936,1.371,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.937,0.981,in TeleOp_Revised,top of main loop
8.938,0.748,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.940,1.516,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.941,0.996,in TeleOp_Revised,top of main loop
8.941,0.590,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.942,1.348,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.943,0.967,in TeleOp_Revised,top of main loop
8.944,0.579,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.945,1.329,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.946,0.984,in TeleOp_Revised,top of main loop
8.947,0.489,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.948,1.541,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.950,1.139,in TeleOp_Revised,top of main loop
8.950,0.749,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.952,1.651,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.953,1.190,in TeleOp_Revised,top of main loop
8.954,0.600,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.955,1.485,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.956,0.995,in TeleOp_Revised,top of main loop
8.957,0.483,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.958,1.511,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.959,0.966,in TeleOp_Revised,top of main loop
8.960,0.546,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.961,1.455,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.962,1.012,in TeleOp_Revised,top of main loop
8.963,0.512,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.964,1.441,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.965,1.034,in TeleOp_Revised,top of main loop
8.966,0.536,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.969,2.886,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.970,0.952,in TeleOp_Revised,top of main loop
8.970,0.521,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.975,5.452,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.978,2.210,in TeleOp_Revised,top of main loop
8.980,2.040,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.983,3.600,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.985,1.868,in TeleOp_Revised,top of main loop
8.986,0.485,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.988,2.059,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
