sec,d ms,r.init,r.init was invoked (a)
0.001,0.505,r.init,debug mode is false
0.002,0.619,robot,pushButton was invoked with button 0
3.336,3334.429,robot,resetMotorEncoders was called
3.352,15.536,robot,enableMotorEncoders was called
3.380,28.267,r.init,r.init finished (a)
3.441,61.290,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.442,1.249,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
