sec,d ms,r.init,r.init was invoked (a)
0.002,1.055,r.init,debug mode is false
0.003,1.384,robot,pushButton was invoked with button 0
4.034,4030.836,robot,resetMotorEncoders was called
4.048,14.193,robot,enableMotorEncoders was called
4.076,27.979,r.init,r.init finished (a)
