sec,d ms,r.init,r.init was invoked (a)
0.001,1.040,r.init,debug mode is false
0.004,3.057,robot,pushButton was invoked with button 0
3.623,3618.940,robot,resetMotorEncoders was called
3.637,14.040,robot,enableMotorEncoders was called
3.669,32.393,r.init,r.init finished (a)
3.754,84.556,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.755,1.269,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.923,167.566,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.030,18107.524,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.086,55.892,in TeleOp_Revised,top of main loop
22.087,0.991,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.168,81.289,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.170,1.619,in TeleOp_Revised,top of main loop
22.171,1.233,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.177,5.626,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.181,4.200,in TeleOp_Revised,top of main loop
22.184,2.585,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.186,2.299,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.189,3.501,in TeleOp_Revised,top of main loop
22.190,1.102,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.193,2.836,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.195,1.337,in TeleOp_Revised,top of main loop
22.197,1.932,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.200,3.720,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.203,2.311,in TeleOp_Revised,top of main loop
22.204,0.965,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.206,2.400,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.208,1.672,in TeleOp_Revised,top of main loop
22.209,1.210,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.211,2.133,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.212,1.489,in TeleOp_Revised,top of main loop
22.214,1.798,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.216,1.666,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.218,2.098,in TeleOp_Revised,top of main loop
22.219,1.058,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.222,2.449,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.224,2.744,in TeleOp_Revised,top of main loop
22.230,5.778,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.232,2.228,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.235,2.636,in TeleOp_Revised,top of main loop
22.236,0.707,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.241,5.130,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.244,3.262,in TeleOp_Revised,top of main loop
22.245,1.352,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.271,25.990,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.276,4.989,in TeleOp_Revised,top of main loop
22.278,1.474,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.282,4.267,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.284,1.568,in TeleOp_Revised,top of main loop
22.284,0.804,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.286,1.836,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.288,1.501,in TeleOp_Revised,top of main loop
22.289,1.204,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.291,1.924,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.294,2.986,in TeleOp_Revised,top of main loop
22.294,0.584,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.297,2.226,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.298,1.583,in TeleOp_Revised,top of main loop
22.299,0.654,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.301,1.843,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.303,2.005,in TeleOp_Revised,top of main loop
22.304,0.995,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.306,1.946,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.307,1.584,in TeleOp_Revised,top of main loop
22.308,1.003,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.310,1.771,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.311,1.243,in TeleOp_Revised,top of main loop
22.312,1.156,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.314,1.844,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.316,1.430,in TeleOp_Revised,top of main loop
22.316,0.602,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.318,1.605,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.320,1.552,in TeleOp_Revised,top of main loop
22.320,0.574,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.322,1.816,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.323,1.200,in TeleOp_Revised,top of main loop
22.324,0.564,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.326,2.063,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.327,1.534,in TeleOp_Revised,top of main loop
22.328,0.567,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.329,1.652,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.331,1.155,in TeleOp_Revised,top of main loop
22.331,0.554,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.333,1.589,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.334,1.170,in TeleOp_Revised,top of main loop
22.335,0.612,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.337,2.334,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.338,1.123,in TeleOp_Revised,top of main loop
22.339,0.715,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.340,1.612,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.342,1.303,in TeleOp_Revised,top of main loop
22.342,0.610,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.344,1.537,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.345,1.269,in TeleOp_Revised,top of main loop
22.346,0.503,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.348,2.668,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.350,1.310,in TeleOp_Revised,top of main loop
22.350,0.712,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.352,1.588,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.353,1.190,in TeleOp_Revised,top of main loop
22.354,0.577,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.355,1.532,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.356,1.181,in TeleOp_Revised,top of main loop
22.357,0.565,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.359,2.267,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.360,1.198,in TeleOp_Revised,top of main loop
22.361,0.584,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.362,1.550,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.364,1.774,in TeleOp_Revised,top of main loop
22.365,0.549,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.366,1.581,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.368,1.116,in TeleOp_Revised,top of main loop
22.368,0.561,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.370,1.956,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.371,1.159,in TeleOp_Revised,top of main loop
22.372,0.568,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.374,2.070,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.375,1.511,in TeleOp_Revised,top of main loop
22.376,0.594,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.377,1.553,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.379,1.645,in TeleOp_Revised,top of main loop
22.380,0.600,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.381,1.614,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.382,1.145,in TeleOp_Revised,top of main loop
22.383,0.518,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.385,1.499,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.386,1.103,in TeleOp_Revised,top of main loop
22.386,0.577,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.388,1.504,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.389,1.265,in TeleOp_Revised,top of main loop
22.390,0.569,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.391,1.535,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.392,1.177,in TeleOp_Revised,top of main loop
22.393,0.602,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.394,1.568,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.396,1.636,in TeleOp_Revised,top of main loop
22.397,0.779,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.398,1.663,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.400,1.214,in TeleOp_Revised,top of main loop
22.400,0.608,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.402,1.499,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.403,1.129,in TeleOp_Revised,top of main loop
22.404,0.590,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.405,1.607,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.406,1.072,in TeleOp_Revised,top of main loop
22.407,0.510,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.408,1.548,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.410,1.500,in TeleOp_Revised,top of main loop
22.410,0.633,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.412,1.606,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.413,1.121,in TeleOp_Revised,top of main loop
22.414,0.586,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.415,1.644,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.417,1.150,in TeleOp_Revised,top of main loop
22.417,0.547,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.419,2.323,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.422,2.221,in TeleOp_Revised,top of main loop
22.422,0.699,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.424,1.669,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.425,1.184,in TeleOp_Revised,top of main loop
22.426,0.561,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.429,2.932,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.431,2.632,in TeleOp_Revised,top of main loop
22.433,1.538,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.434,1.564,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.436,2.072,in TeleOp_Revised,top of main loop
22.437,0.531,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.439,2.279,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.441,1.758,in TeleOp_Revised,top of main loop
22.442,0.735,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.443,1.594,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.445,1.380,in TeleOp_Revised,top of main loop
22.445,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.447,1.548,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.448,1.362,in TeleOp_Revised,top of main loop
22.449,0.636,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.451,2.137,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.452,1.235,in TeleOp_Revised,top of main loop
22.453,0.591,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.454,1.550,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.455,1.103,in TeleOp_Revised,top of main loop
22.456,0.538,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.458,1.533,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.459,1.495,in TeleOp_Revised,top of main loop
22.460,0.600,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.461,1.736,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.463,1.533,in TeleOp_Revised,top of main loop
22.464,0.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.465,1.868,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.467,1.340,in TeleOp_Revised,top of main loop
22.467,0.576,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.469,1.833,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.471,2.002,in TeleOp_Revised,top of main loop
22.472,0.620,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.474,1.797,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.475,1.603,in TeleOp_Revised,top of main loop
22.476,0.549,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.478,1.965,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.479,1.565,in TeleOp_Revised,top of main loop
22.480,0.994,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.482,1.485,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.483,1.230,in TeleOp_Revised,top of main loop
22.483,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.485,1.542,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.486,1.337,in TeleOp_Revised,top of main loop
22.487,0.581,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.489,1.967,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.490,1.373,in TeleOp_Revised,top of main loop
22.491,1.119,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
