sec,d ms,r.init,r.init was invoked (a)
0.003,3.004,r.init,debug mode is false
0.004,1.019,robot,pushButton was invoked with button 0
4.362,4357.454,robot,resetMotorEncoders was called
4.375,13.760,robot,enableMotorEncoders was called
4.409,34.133,r.init,r.init finished (a)
