sec,d ms,r.init,r.init was invoked (a)
0.001,0.948,r.init,debug mode is false
0.002,0.671,robot,pushButton was invoked with button 0
4.022,4019.669,robot,resetMotorEncoders was called
4.033,11.819,robot,enableMotorEncoders was called
4.054,20.178,r.init,r.init finished (a)
4.102,48.469,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.945,842.481,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.119,173.968,in TeleOp_Revised,top of main loop
5.119,0.810,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.183,63.566,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.186,2.801,in TeleOp_Revised,top of main loop
5.187,1.298,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.204,16.673,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.207,2.858,in TeleOp_Revised,top of main loop
5.208,1.559,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.210,1.841,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.212,2.030,in TeleOp_Revised,top of main loop
5.213,0.978,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.215,1.609,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.216,1.496,in TeleOp_Revised,top of main loop
5.217,0.564,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.219,1.919,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.220,1.619,in TeleOp_Revised,top of main loop
5.225,4.371,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.227,2.226,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.228,1.468,in TeleOp_Revised,top of main loop
5.229,1.204,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.233,3.117,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.235,2.383,in TeleOp_Revised,top of main loop
5.236,0.944,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.239,2.810,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.242,3.449,in TeleOp_Revised,top of main loop
5.247,4.580,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.252,5.496,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.255,2.507,in TeleOp_Revised,top of main loop
5.256,1.490,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.258,1.706,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.261,3.228,in TeleOp_Revised,top of main loop
5.265,3.873,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.271,5.845,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.273,2.383,in TeleOp_Revised,top of main loop
5.276,3.050,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.279,2.798,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.282,2.493,in TeleOp_Revised,top of main loop
5.282,0.856,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.284,1.420,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.285,1.261,in TeleOp_Revised,top of main loop
5.286,0.627,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.287,1.434,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.288,1.134,in TeleOp_Revised,top of main loop
5.289,0.721,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.290,1.312,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.292,1.203,in TeleOp_Revised,top of main loop
5.292,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
