sec,d ms,r.init,r.init was invoked (a)
0.002,1.563,r.init,debug mode is false
0.003,0.909,robot,pushButton was invoked with button 0
4.079,4076.140,robot,resetMotorEncoders was called
4.093,14.520,robot,enableMotorEncoders was called
4.128,35.207,r.init,r.init finished (a)
