sec,d ms,r.init,r.init was invoked (a)
0.001,0.804,r.init,debug mode is false
0.002,0.666,robot,pushButton was invoked with button 0
3.261,3259.574,robot,resetMotorEncoders was called
3.280,18.487,robot,enableMotorEncoders was called
3.313,33.383,r.init,r.init finished (a)
3.386,72.835,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.388,1.486,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.579,191.354,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.343,26764.317,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.394,50.888,in TeleOp_Revised,top of main loop
30.395,0.727,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.472,76.860,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.473,1.182,in TeleOp_Revised,top of main loop
30.473,0.517,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.475,1.611,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.476,1.159,in TeleOp_Revised,top of main loop
30.477,0.550,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.479,1.936,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.480,1.333,in TeleOp_Revised,top of main loop
30.481,0.633,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.483,2.058,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.484,1.281,in TeleOp_Revised,top of main loop
30.485,0.882,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.487,1.788,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.488,1.074,in TeleOp_Revised,top of main loop
30.489,1.026,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.490,1.587,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.491,0.956,in TeleOp_Revised,top of main loop
30.492,0.515,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.512,20.657,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.514,1.384,in TeleOp_Revised,top of main loop
30.514,0.595,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.517,2.355,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.518,1.172,in TeleOp_Revised,top of main loop
30.518,0.462,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.520,1.641,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.522,2.015,in TeleOp_Revised,top of main loop
30.523,1.208,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.525,1.647,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.526,0.930,in TeleOp_Revised,top of main loop
30.527,0.656,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.528,1.817,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.531,2.862,in TeleOp_Revised,top of main loop
30.532,0.962,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.535,2.775,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.537,2.012,in TeleOp_Revised,top of main loop
30.538,1.105,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.540,2.033,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.541,1.263,in TeleOp_Revised,top of main loop
30.542,1.030,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.544,1.619,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.545,1.327,in TeleOp_Revised,top of main loop
30.546,0.969,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.548,1.502,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.550,1.732,in TeleOp_Revised,top of main loop
30.550,0.817,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.552,1.715,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.554,1.442,in TeleOp_Revised,top of main loop
30.554,0.763,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.556,1.789,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.557,1.177,in TeleOp_Revised,top of main loop
30.558,0.939,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.560,1.561,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.561,1.296,in TeleOp_Revised,top of main loop
30.562,0.828,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.564,1.947,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.566,2.051,in TeleOp_Revised,top of main loop
30.567,1.130,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.569,1.938,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.570,1.320,in TeleOp_Revised,top of main loop
30.571,0.874,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.573,1.694,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.574,1.311,in TeleOp_Revised,top of main loop
30.575,0.722,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.576,1.569,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
30.578,2.002,in TeleOp_Revised,top of main loop
30.580,1.403,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
30.582,2.009,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
