sec,d ms,r.init,r.init was invoked (a)
0.000,0.718,r.init,debug mode is false
0.001,0.959,robot,pushButton was invoked with button 0
4.321,4319.361,robot,resetMotorEncoders was called
4.330,9.189,robot,enableMotorEncoders was called
4.355,25.114,r.init,r.init finished (a)
