sec,d ms,r.init,r.init was invoked (a)
0.000,0.750,r.init,debug mode is false
0.001,1.049,robot,pushButton was invoked with button 0
3.418,3416.999,robot,resetMotorEncoders was called
3.424,5.968,robot,enableMotorEncoders was called
3.449,24.869,r.init,r.init finished (a)
3.526,76.736,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.527,1.018,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
