sec,d ms,r.init,r.init was invoked (a)
0.000,0.410,r.init,debug mode is false
0.001,0.755,robot,pushButton was invoked with button 0
3.282,3281.409,robot,resetMotorEncoders was called
3.305,22.674,robot,enableMotorEncoders was called
3.332,26.980,r.init,r.init finished (a)
3.398,66.222,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.399,1.193,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.588,188.269,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.355,767.252,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.430,74.881,robot,pushButton was invoked with button 0
4.432,1.777,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.442,10.102,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.443,1.192,robot,pushButton was invoked with button 0
4.444,0.860,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.446,2.250,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.448,1.465,robot,pushButton was invoked with button 0
4.449,1.701,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.452,2.873,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.454,2.252,robot,pushButton was invoked with button 0
4.456,1.379,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.458,2.212,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.460,2.239,robot,pushButton was invoked with button 0
4.462,1.361,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.464,1.982,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.467,2.957,robot,pushButton was invoked with button 0
4.467,0.859,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.472,4.540,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.475,3.482,robot,pushButton was invoked with button 0
4.478,2.179,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.480,2.472,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.482,2.131,robot,pushButton was invoked with button 0
4.483,0.850,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.485,1.524,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.486,1.371,robot,pushButton was invoked with button 0
4.486,0.511,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.488,1.349,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.490,2.537,robot,pushButton was invoked with button 0
4.492,1.631,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.493,1.427,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.494,1.016,robot,pushButton was invoked with button 0
4.495,0.534,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.496,1.264,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.497,1.075,robot,pushButton was invoked with button 0
4.498,0.598,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.499,1.366,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.502,2.353,robot,pushButton was invoked with button 0
4.502,0.677,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.505,2.375,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.506,1.237,robot,pushButton was invoked with button 0
4.507,1.077,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.508,1.269,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.510,1.408,robot,pushButton was invoked with button 0
4.510,0.616,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.513,2.675,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.515,2.417,robot,pushButton was invoked with button 0
4.517,1.512,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.519,2.218,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.520,1.273,robot,pushButton was invoked with button 0
4.521,0.851,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.523,2.113,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.525,1.366,robot,pushButton was invoked with button 0
4.525,0.812,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.527,1.838,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.529,1.285,robot,pushButton was invoked with button 0
4.529,0.877,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.533,3.221,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.534,1.516,robot,pushButton was invoked with button 0
4.535,1.002,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.537,1.590,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.538,0.946,robot,pushButton was invoked with button 0
4.538,0.531,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.540,1.294,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.540,0.906,robot,pushButton was invoked with button 0
4.541,0.830,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.543,1.698,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.544,1.025,robot,pushButton was invoked with button 0
4.545,0.605,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.546,1.509,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.547,1.270,robot,pushButton was invoked with button 0
4.548,0.640,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.550,1.492,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.551,1.000,robot,pushButton was invoked with button 0
4.551,0.755,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.553,1.320,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.554,1.091,robot,pushButton was invoked with button 0
4.554,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.556,1.378,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.559,2.988,robot,pushButton was invoked with button 0
4.560,0.999,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.561,1.833,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.566,4.141,robot,pushButton was invoked with button 0
4.566,0.779,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.568,1.868,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.570,1.562,robot,pushButton was invoked with button 0
4.571,0.834,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.572,1.706,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.573,1.096,robot,pushButton was invoked with button 0
4.574,0.584,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.576,2.204,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.577,1.121,robot,pushButton was invoked with button 0
4.578,0.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.579,1.322,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.580,1.012,robot,pushButton was invoked with button 0
4.581,0.613,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.583,1.587,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.584,1.237,robot,pushButton was invoked with button 0
4.584,0.588,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.586,1.575,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.587,1.001,robot,pushButton was invoked with button 0
4.587,0.552,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.589,1.721,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.590,0.980,robot,pushButton was invoked with button 0
4.591,0.564,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.592,1.537,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.594,1.272,robot,pushButton was invoked with button 0
4.594,0.574,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.596,2.083,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.598,1.512,robot,pushButton was invoked with button 0
4.598,0.547,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.601,2.808,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.602,1.412,robot,pushButton was invoked with button 0
4.604,1.682,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.606,1.724,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.607,1.068,robot,pushButton was invoked with button 0
4.608,0.583,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.609,1.430,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.610,1.007,robot,pushButton was invoked with button 0
4.611,0.555,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.612,1.576,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.613,1.165,robot,pushButton was invoked with button 0
4.616,2.516,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.619,3.109,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.620,0.983,robot,pushButton was invoked with button 0
4.621,0.718,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.622,1.374,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.623,0.940,robot,pushButton was invoked with button 0
4.623,0.498,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.625,1.457,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.627,2.306,robot,pushButton was invoked with button 0
4.628,0.976,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.632,3.430,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.634,2.612,robot,pushButton was invoked with button 0
4.635,0.819,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.637,1.575,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.639,2.462,robot,pushButton was invoked with button 0
4.640,0.952,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.642,1.609,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.643,1.209,robot,pushButton was invoked with button 0
4.644,0.852,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.645,1.645,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.646,1.108,robot,pushButton was invoked with button 0
4.647,0.633,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.649,2.341,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.650,1.062,robot,pushButton was invoked with button 0
4.652,1.588,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.653,1.442,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.655,1.028,robot,pushButton was invoked with button 0
4.655,0.586,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.656,1.280,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.657,1.119,robot,pushButton was invoked with button 0
4.658,0.540,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.659,1.268,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.660,1.024,robot,pushButton was invoked with button 0
4.661,0.573,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.662,1.419,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.663,0.988,robot,pushButton was invoked with button 0
4.664,0.643,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.665,1.265,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.666,1.049,robot,pushButton was invoked with button 0
4.667,0.573,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.668,1.313,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.669,0.959,robot,pushButton was invoked with button 0
4.670,0.466,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.671,1.367,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.672,0.989,robot,pushButton was invoked with button 0
4.672,0.571,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.674,1.296,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.675,1.046,robot,pushButton was invoked with button 0
4.675,0.540,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.677,1.308,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.678,0.973,robot,pushButton was invoked with button 0
4.678,0.529,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.679,1.300,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.681,1.068,robot,pushButton was invoked with button 0
4.681,0.688,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
