sec,d ms,r.init,r.init was invoked (a)
0.001,0.770,r.init,debug mode is false
0.002,0.879,robot,pushButton was invoked with button 0
4.062,4060.153,robot,resetMotorEncoders was called
4.077,15.141,robot,enableMotorEncoders was called
4.108,30.249,r.init,r.init finished (a)
