sec,d ms,r.init,r.init was invoked (a)
0.001,0.756,r.init,debug mode is false
0.002,0.800,robot,pushButton was invoked with button 0
3.275,3273.163,robot,resetMotorEncoders was called
3.287,11.962,robot,enableMotorEncoders was called
3.321,33.911,r.init,r.init finished (a)
3.376,55.088,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.377,1.391,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.560,182.666,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.409,4849.252,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.476,66.600,in TeleOp_Revised,top of main loop
8.476,0.688,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.553,76.455,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.554,1.449,in TeleOp_Revised,top of main loop
8.555,0.934,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.558,2.474,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.559,1.614,in TeleOp_Revised,top of main loop
8.562,2.576,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.566,4.648,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.569,2.771,in TeleOp_Revised,top of main loop
8.570,0.932,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.579,8.889,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.581,2.201,in TeleOp_Revised,top of main loop
8.583,1.433,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.587,4.379,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.589,2.178,in TeleOp_Revised,top of main loop
8.591,1.486,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.594,3.495,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.596,1.529,in TeleOp_Revised,top of main loop
8.597,1.002,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.600,3.125,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.602,2.057,in TeleOp_Revised,top of main loop
8.603,1.279,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.605,2.057,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.607,1.809,in TeleOp_Revised,top of main loop
8.608,0.722,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.611,2.740,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.613,2.037,in TeleOp_Revised,top of main loop
8.613,0.851,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.615,2.092,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.617,1.893,in TeleOp_Revised,top of main loop
8.618,0.717,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.620,2.381,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.622,1.574,in TeleOp_Revised,top of main loop
8.623,1.015,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.625,2.260,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.627,1.574,in TeleOp_Revised,top of main loop
8.628,0.718,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.633,5.538,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.635,1.914,in TeleOp_Revised,top of main loop
8.636,1.151,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.638,1.882,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.639,1.378,in TeleOp_Revised,top of main loop
8.640,0.733,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.650,9.470,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.653,3.198,in TeleOp_Revised,top of main loop
8.655,1.699,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.657,2.054,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.658,1.820,in TeleOp_Revised,top of main loop
8.659,0.906,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.662,2.950,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.664,1.521,in TeleOp_Revised,top of main loop
8.667,2.888,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.670,3.237,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.672,2.383,in TeleOp_Revised,top of main loop
8.673,0.962,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.676,2.285,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.678,2.015,in TeleOp_Revised,top of main loop
8.678,0.816,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.682,3.142,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.684,2.200,in TeleOp_Revised,top of main loop
8.685,1.099,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.690,4.680,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.693,3.138,in TeleOp_Revised,top of main loop
8.694,1.142,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
