sec,d ms,r.init,r.init was invoked (a)
0.001,1.035,r.init,debug mode is false
0.002,0.729,robot,pushButton was invoked with button 0
4.297,4294.908,robot,resetMotorEncoders was called
4.310,13.189,robot,enableMotorEncoders was called
4.346,36.320,r.init,r.init finished (a)
4.413,66.336,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.147,1734.365,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.319,172.265,in TeleOp_Revised,top of main loop
6.320,0.765,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.400,79.902,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.402,1.590,in TeleOp_Revised,top of main loop
6.403,1.000,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.406,3.251,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.408,2.138,in TeleOp_Revised,top of main loop
6.410,1.708,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.412,2.619,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.415,2.400,in TeleOp_Revised,top of main loop
6.416,1.302,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.421,4.522,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.423,2.338,in TeleOp_Revised,top of main loop
6.424,0.781,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.426,2.758,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.428,1.906,in TeleOp_Revised,top of main loop
6.429,1.146,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.433,4.062,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.443,9.778,in TeleOp_Revised,top of main loop
6.445,1.326,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.447,2.858,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.451,3.862,in TeleOp_Revised,top of main loop
6.453,1.244,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.454,1.717,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.456,2.162,in TeleOp_Revised,top of main loop
6.459,2.060,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.462,3.456,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.464,1.673,in TeleOp_Revised,top of main loop
6.465,1.183,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.468,2.743,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.469,1.880,in TeleOp_Revised,top of main loop
6.471,1.184,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.473,2.191,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.476,2.756,in TeleOp_Revised,top of main loop
6.478,1.985,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.481,3.010,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.483,2.130,in TeleOp_Revised,top of main loop
6.484,1.578,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.486,1.458,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.487,1.415,in TeleOp_Revised,top of main loop
6.488,0.811,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.491,3.313,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.493,2.136,in TeleOp_Revised,top of main loop
6.494,0.982,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.496,1.476,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.497,1.592,in TeleOp_Revised,top of main loop
6.499,1.908,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.501,1.915,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.504,2.485,in TeleOp_Revised,top of main loop
6.505,0.878,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.506,1.806,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.510,3.235,in TeleOp_Revised,top of main loop
6.512,2.552,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.517,4.950,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.519,2.192,in TeleOp_Revised,top of main loop
6.522,2.537,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.524,1.933,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.526,1.835,in TeleOp_Revised,top of main loop
6.526,0.666,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.529,2.560,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.530,1.301,in TeleOp_Revised,top of main loop
6.531,0.964,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.533,2.152,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.535,1.595,in TeleOp_Revised,top of main loop
6.535,0.551,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.537,1.776,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.539,1.684,in TeleOp_Revised,top of main loop
6.540,0.605,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.541,1.609,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.542,1.100,in TeleOp_Revised,top of main loop
6.543,0.531,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.544,1.464,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.545,1.041,in TeleOp_Revised,top of main loop
6.546,0.532,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.547,1.437,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.548,0.983,in TeleOp_Revised,top of main loop
6.549,0.477,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.550,1.383,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.551,0.878,in TeleOp_Revised,top of main loop
6.551,0.483,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
