sec,d ms,r.init,r.init was invoked (a)
0.001,0.728,r.init,debug mode is false
0.002,0.635,robot,pushButton was invoked with button 0
5.213,5211.636,robot,resetMotorEncoders was called
5.214,0.740,robot,enableMotorEncoders was called
5.215,1.370,r.init,r.init finished (a)
5.216,0.929,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.217,0.865,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
