sec,d ms,r.init,r.init was invoked (a)
0.001,1.374,r.init,debug mode is false
0.005,3.336,robot,pushButton was invoked with button 0
5.240,5235.518,robot,resetMotorEncoders was called
5.243,2.519,robot,enableMotorEncoders was called
5.243,0.581,r.init,r.init finished (a)
