sec,d ms,r.init,r.init was invoked (a)
0.002,1.520,r.init,debug mode is false
0.004,1.964,robot,pushButton was invoked with button 0
4.058,4054.064,robot,resetMotorEncoders was called
4.076,18.514,robot,enableMotorEncoders was called
4.109,32.452,r.init,r.init finished (a)
4.182,73.637,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.402,1219.657,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.613,211.572,in TeleOp_Revised,top of main loop
5.614,0.840,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.671,56.538,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.673,1.675,in TeleOp_Revised,top of main loop
5.673,0.774,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.696,22.955,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.699,2.556,in TeleOp_Revised,top of main loop
5.700,0.737,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.703,3.610,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.705,1.794,in TeleOp_Revised,top of main loop
5.706,0.963,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.709,3.443,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.712,2.222,in TeleOp_Revised,top of main loop
5.713,1.924,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.718,4.095,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.719,1.620,in TeleOp_Revised,top of main loop
5.720,1.016,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.725,4.784,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.727,1.867,in TeleOp_Revised,top of main loop
5.728,1.016,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.730,2.255,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.732,2.031,in TeleOp_Revised,top of main loop
5.733,1.322,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.736,2.578,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.738,2.278,in TeleOp_Revised,top of main loop
5.740,2.088,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.743,2.862,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.745,1.980,in TeleOp_Revised,top of main loop
5.747,1.331,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.749,2.245,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.751,2.018,in TeleOp_Revised,top of main loop
5.752,1.003,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.755,2.877,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.756,1.426,in TeleOp_Revised,top of main loop
5.758,1.520,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.760,2.379,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.762,2.140,in TeleOp_Revised,top of main loop
5.763,1.210,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.766,2.482,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.769,2.672,in TeleOp_Revised,top of main loop
5.770,0.975,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.772,2.309,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.774,1.911,in TeleOp_Revised,top of main loop
5.776,1.823,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.780,3.972,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.782,2.328,in TeleOp_Revised,top of main loop
5.783,1.249,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.786,2.827,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.790,3.546,in TeleOp_Revised,top of main loop
5.790,0.713,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.793,2.579,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.795,2.314,in TeleOp_Revised,top of main loop
5.796,0.638,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.798,2.217,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.799,1.219,in TeleOp_Revised,top of main loop
5.800,0.615,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.801,1.638,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.803,1.094,in TeleOp_Revised,top of main loop
5.803,0.529,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.804,1.304,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.805,1.091,in TeleOp_Revised,top of main loop
5.806,0.617,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.808,1.805,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.810,1.694,in TeleOp_Revised,top of main loop
5.810,0.579,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.812,1.706,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.813,1.338,in TeleOp_Revised,top of main loop
5.814,0.576,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.815,1.558,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.816,0.987,in TeleOp_Revised,top of main loop
5.817,0.896,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.819,1.754,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.820,1.296,in TeleOp_Revised,top of main loop
5.821,0.567,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.822,1.450,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.823,1.049,in TeleOp_Revised,top of main loop
5.824,0.727,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.825,1.382,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.827,1.383,in TeleOp_Revised,top of main loop
5.827,0.581,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.829,1.433,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.830,1.060,in TeleOp_Revised,top of main loop
5.830,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.832,1.450,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.833,1.078,in TeleOp_Revised,top of main loop
5.834,0.546,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.835,1.382,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.836,1.025,in TeleOp_Revised,top of main loop
5.836,0.532,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.838,1.433,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.839,0.977,in TeleOp_Revised,top of main loop
