sec,d ms,r.init,r.init was invoked (a)
0.001,0.764,r.init,debug mode is false
0.002,1.295,robot,pushButton was invoked with button 0
3.278,3275.989,robot,resetMotorEncoders was called
3.298,20.256,robot,enableMotorEncoders was called
3.331,33.027,r.init,r.init finished (a)
3.384,52.520,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.385,1.373,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.556,170.924,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.633,2076.390,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.690,57.753,in TeleOp_Revised,top of main loop
5.691,1.128,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.758,66.521,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.760,2.178,in TeleOp_Revised,top of main loop
5.761,1.111,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.764,2.722,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.766,2.035,in TeleOp_Revised,top of main loop
5.768,1.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.771,3.122,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.773,2.637,in TeleOp_Revised,top of main loop
5.774,0.791,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.777,2.613,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.780,3.476,in TeleOp_Revised,top of main loop
5.781,1.085,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.786,4.268,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.791,5.132,in TeleOp_Revised,top of main loop
5.792,0.787,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.797,4.979,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.798,1.751,in TeleOp_Revised,top of main loop
5.799,0.706,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.801,1.933,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.803,2.474,in TeleOp_Revised,top of main loop
5.804,0.762,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.806,2.059,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.808,1.557,in TeleOp_Revised,top of main loop
5.809,0.842,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.811,2.722,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.813,1.488,in TeleOp_Revised,top of main loop
5.814,0.806,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.816,2.356,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.818,2.435,in TeleOp_Revised,top of main loop
5.819,0.640,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.821,1.821,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.823,2.143,in TeleOp_Revised,top of main loop
5.824,0.701,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.827,3.058,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.828,1.667,in TeleOp_Revised,top of main loop
5.829,0.687,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.831,1.911,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.833,2.114,in TeleOp_Revised,top of main loop
5.834,1.085,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.837,2.875,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.839,2.152,in TeleOp_Revised,top of main loop
5.840,0.704,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.842,2.376,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.844,1.233,in TeleOp_Revised,top of main loop
5.844,0.630,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.846,1.712,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.848,1.692,in TeleOp_Revised,top of main loop
5.848,0.607,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.855,6.814,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.858,3.036,in TeleOp_Revised,top of main loop
5.859,0.946,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.863,3.510,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.864,1.368,in TeleOp_Revised,top of main loop
5.865,0.642,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.869,4.705,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.871,1.814,in TeleOp_Revised,top of main loop
5.872,0.560,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.873,1.538,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.876,2.324,in TeleOp_Revised,top of main loop
5.876,0.800,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.878,1.972,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.879,1.184,in TeleOp_Revised,top of main loop
5.880,0.592,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.882,1.935,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.883,1.373,in TeleOp_Revised,top of main loop
5.884,0.531,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.885,1.534,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.887,1.535,in TeleOp_Revised,top of main loop
5.888,1.165,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.890,1.714,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.892,1.738,in TeleOp_Revised,top of main loop
5.892,0.887,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.894,1.715,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.896,1.457,in TeleOp_Revised,top of main loop
