sec,d ms,r.init,r.init was invoked (a)
0.001,0.946,r.init,debug mode is false
0.001,0.785,robot,pushButton was invoked with button 0
3.514,3512.395,robot,resetMotorEncoders was called
3.526,11.835,robot,enableMotorEncoders was called
3.559,33.812,r.init,r.init finished (a)
3.626,66.236,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.627,1.290,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
