sec,d ms,r.init,r.init was invoked (a)
0.000,0.552,r.init,debug mode is false
0.001,0.533,robot,pushButton was invoked with button 0
3.138,3137.339,robot,resetMotorEncoders was called
3.151,12.544,robot,enableMotorEncoders was called
3.179,28.125,r.init,r.init finished (a)
3.251,72.152,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.252,1.271,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
