sec,d ms,r.init,r.init was invoked (a)
0.001,0.895,r.init,debug mode is false
0.002,0.884,robot,pushButton was invoked with button 0
3.397,3394.716,robot,resetMotorEncoders was called
3.413,16.217,robot,enableMotorEncoders was called
3.440,27.118,r.init,r.init finished (a)
3.521,80.338,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.522,1.306,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
