sec,d ms,r.init,r.init was invoked (a)
0.001,0.474,r.init,debug mode is false
0.002,0.987,robot,pushButton was invoked with button 0
3.224,3222.442,robot,resetMotorEncoders was called
3.239,15.191,robot,enableMotorEncoders was called
3.270,30.464,r.init,r.init finished (a)
3.342,72.008,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.344,1.649,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.545,201.328,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.573,8028.387,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.640,67.013,in TeleOp_Revised,top of main loop
11.641,1.030,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.771,130.158,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.773,1.533,in TeleOp_Revised,top of main loop
11.774,0.938,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.776,2.173,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.778,1.471,in TeleOp_Revised,top of main loop
11.779,1.312,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.782,2.718,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.785,3.204,in TeleOp_Revised,top of main loop
11.788,2.782,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.792,4.063,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.794,2.754,in TeleOp_Revised,top of main loop
11.796,1.423,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.805,8.851,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.814,9.524,in TeleOp_Revised,top of main loop
11.816,1.307,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.818,2.552,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.820,1.472,in TeleOp_Revised,top of main loop
11.820,0.924,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.822,1.729,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.824,1.621,in TeleOp_Revised,top of main loop
11.824,0.632,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.826,1.810,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.828,1.614,in TeleOp_Revised,top of main loop
11.830,1.736,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.832,2.039,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.836,4.256,in TeleOp_Revised,top of main loop
11.837,0.829,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.839,2.086,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.840,1.409,in TeleOp_Revised,top of main loop
11.842,1.371,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.844,2.048,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.845,1.343,in TeleOp_Revised,top of main loop
11.846,1.122,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.849,2.682,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.851,2.204,in TeleOp_Revised,top of main loop
11.852,0.871,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.855,3.331,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
11.858,2.429,in TeleOp_Revised,top of main loop
11.859,1.139,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
11.861,2.021,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
