sec,d ms,r.init,r.init was invoked (a)
0.000,0.547,r.init,debug mode is false
0.001,1.112,robot,pushButton was invoked with button 0
4.005,4003.765,robot,resetMotorEncoders was called
4.015,10.192,robot,enableMotorEncoders was called
4.047,31.407,r.init,r.init finished (a)
