sec,d ms,r.init,r.init was invoked (a)
0.001,0.809,r.init,debug mode is false
0.001,0.952,robot,pushButton was invoked with button 0
3.638,3636.485,robot,resetMotorEncoders was called
3.648,9.545,robot,enableMotorEncoders was called
3.668,20.797,r.init,r.init finished (a)
3.748,80.137,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.751,2.071,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.909,158.044,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.794,2885.138,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.851,56.928,in TeleOp_Revised,top of main loop
6.851,0.832,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.921,69.432,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.923,1.776,in TeleOp_Revised,top of main loop
6.924,0.963,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.945,21.002,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.946,1.506,in TeleOp_Revised,top of main loop
6.947,0.650,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.950,2.913,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.954,3.851,in TeleOp_Revised,top of main loop
6.956,2.155,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.978,22.095,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.981,3.558,in TeleOp_Revised,top of main loop
6.983,1.301,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.984,1.827,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.986,1.675,in TeleOp_Revised,top of main loop
6.987,0.764,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.989,2.378,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.995,5.806,in TeleOp_Revised,top of main loop
6.996,1.013,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.998,1.822,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.000,1.588,in TeleOp_Revised,top of main loop
7.000,0.861,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.003,2.215,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.004,1.286,in TeleOp_Revised,top of main loop
7.005,1.010,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.007,1.994,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.009,1.638,in TeleOp_Revised,top of main loop
7.010,1.037,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.012,2.585,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.014,1.641,in TeleOp_Revised,top of main loop
7.015,0.935,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.017,1.941,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.018,1.558,in TeleOp_Revised,top of main loop
7.019,0.775,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.021,2.299,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.023,1.432,in TeleOp_Revised,top of main loop
7.024,1.581,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.026,2.031,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.028,1.722,in TeleOp_Revised,top of main loop
7.029,0.785,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.031,2.014,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.032,1.421,in TeleOp_Revised,top of main loop
7.033,0.826,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.035,1.823,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.036,1.472,in TeleOp_Revised,top of main loop
7.037,0.869,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.039,2.117,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.041,1.508,in TeleOp_Revised,top of main loop
7.042,0.735,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.044,2.127,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.045,1.662,in TeleOp_Revised,top of main loop
7.046,0.729,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.049,2.423,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.050,1.511,in TeleOp_Revised,top of main loop
7.051,0.790,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.052,1.493,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.054,1.203,in TeleOp_Revised,top of main loop
7.054,0.662,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.056,1.650,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.057,1.352,in TeleOp_Revised,top of main loop
7.059,2.023,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.061,1.808,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.062,1.403,in TeleOp_Revised,top of main loop
7.063,0.594,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.065,1.657,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.066,1.080,in TeleOp_Revised,top of main loop
7.067,0.712,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.069,2.503,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.071,1.993,in TeleOp_Revised,top of main loop
7.072,0.643,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.073,1.791,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.075,1.336,in TeleOp_Revised,top of main loop
7.077,1.865,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.080,3.108,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.081,1.378,in TeleOp_Revised,top of main loop
7.082,0.595,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.084,1.897,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.085,1.158,in TeleOp_Revised,top of main loop
7.086,0.828,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.088,1.884,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.089,1.413,in TeleOp_Revised,top of main loop
7.089,0.575,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.092,2.137,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.093,0.950,in TeleOp_Revised,top of main loop
7.093,0.791,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.095,1.880,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.097,1.304,in TeleOp_Revised,top of main loop
7.097,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.099,1.928,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.100,1.230,in TeleOp_Revised,top of main loop
7.101,0.805,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.103,1.522,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.104,1.774,in TeleOp_Revised,top of main loop
7.105,0.697,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.108,2.847,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.109,1.064,in TeleOp_Revised,top of main loop
7.110,0.757,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.111,1.574,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.113,1.257,in TeleOp_Revised,top of main loop
7.113,0.618,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.115,1.903,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.116,1.395,in TeleOp_Revised,top of main loop
7.117,0.934,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.119,1.541,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.120,1.370,in TeleOp_Revised,top of main loop
7.121,0.591,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.123,1.701,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.124,1.271,in TeleOp_Revised,top of main loop
7.125,0.628,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.126,1.668,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.128,1.421,in TeleOp_Revised,top of main loop
7.128,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.130,1.812,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.131,1.077,in TeleOp_Revised,top of main loop
7.132,0.776,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.134,1.990,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.135,1.131,in TeleOp_Revised,top of main loop
7.136,0.804,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.138,1.779,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.139,1.282,in TeleOp_Revised,top of main loop
7.140,1.373,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.143,2.448,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.144,1.652,in TeleOp_Revised,top of main loop
7.145,0.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.147,1.972,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.148,1.366,in TeleOp_Revised,top of main loop
7.149,0.721,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.151,1.635,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.152,1.783,in TeleOp_Revised,top of main loop
7.153,0.736,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.155,1.703,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.156,1.056,in TeleOp_Revised,top of main loop
7.157,0.812,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.158,1.512,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.159,1.263,in TeleOp_Revised,top of main loop
7.160,0.718,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.162,1.637,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.163,1.016,in TeleOp_Revised,top of main loop
7.164,0.708,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.165,1.361,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.166,1.220,in TeleOp_Revised,top of main loop
7.167,0.559,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.168,1.593,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.169,0.963,in TeleOp_Revised,top of main loop
7.170,0.718,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.173,2.680,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
