sec,d ms,r.init,r.init was invoked (a)
0.000,0.662,r.init,debug mode is false
0.003,2.707,robot,pushButton was invoked with button 0
4.057,4054.269,robot,resetMotorEncoders was called
4.068,10.198,robot,enableMotorEncoders was called
4.110,42.727,r.init,r.init finished (a)
