sec,d ms,r.init,r.init was invoked (a)
0.001,1.208,r.init,debug mode is false
0.003,1.977,robot,pushButton was invoked with button 0
5.233,5230.152,robot,resetMotorEncoders was called
5.234,1.097,robot,enableMotorEncoders was called
5.235,1.018,r.init,r.init finished (a)
