sec,d ms,r.init,r.init was invoked (a)
0.001,0.756,r.init,debug mode is false
0.001,0.731,robot,pushButton was invoked with button 0
4.063,4061.489,robot,resetMotorEncoders was called
4.079,16.498,robot,enableMotorEncoders was called
4.112,32.939,r.init,r.init finished (a)
4.205,92.268,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.756,3551.820,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.908,151.824,in TeleOp_Revised,top of main loop
7.909,0.838,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.994,84.559,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
7.997,3.709,in TeleOp_Revised,top of main loop
7.999,1.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.002,2.919,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.003,1.483,in TeleOp_Revised,top of main loop
8.004,1.048,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.008,3.682,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.010,2.263,in TeleOp_Revised,top of main loop
8.011,0.710,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.014,3.047,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.016,2.242,in TeleOp_Revised,top of main loop
8.019,2.161,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.023,4.565,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.026,2.933,in TeleOp_Revised,top of main loop
8.029,3.030,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.034,5.072,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.040,5.449,in TeleOp_Revised,top of main loop
8.042,2.447,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.047,4.784,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.051,3.867,in TeleOp_Revised,top of main loop
8.053,2.301,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.057,4.324,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.062,4.331,in TeleOp_Revised,top of main loop
8.064,2.537,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.068,3.311,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.071,3.510,in TeleOp_Revised,top of main loop
8.074,2.538,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.099,25.021,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.102,3.824,in TeleOp_Revised,top of main loop
8.103,0.612,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.106,2.696,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.107,1.449,in TeleOp_Revised,top of main loop
8.108,0.606,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.111,2.758,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.114,2.962,in TeleOp_Revised,top of main loop
8.114,0.692,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.116,1.715,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.118,2.295,in TeleOp_Revised,top of main loop
8.119,0.669,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.121,2.208,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.123,2.146,in TeleOp_Revised,top of main loop
8.124,0.641,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.126,1.632,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.127,1.716,in TeleOp_Revised,top of main loop
8.128,0.559,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
