sec,d ms,r.init,r.init was invoked (a)
0.001,0.684,r.init,debug mode is false
0.001,0.817,robot,pushButton was invoked with button 0
4.130,4128.292,robot,resetMotorEncoders was called
4.148,18.191,robot,enableMotorEncoders was called
4.170,22.320,r.init,r.init finished (a)
