sec,d ms,r.init,r.init was invoked (a)
0.001,0.536,r.init,debug mode is false
0.002,0.911,robot,pushButton was invoked with button 0
4.018,4016.082,robot,resetMotorEncoders was called
4.032,13.789,robot,enableMotorEncoders was called
4.061,29.411,r.init,r.init finished (a)
