sec,d ms,r.init,r.init was invoked (a)
0.000,0.736,r.init,debug mode is false
0.001,0.644,robot,pushButton was invoked with button 0
3.779,3778.234,robot,resetMotorEncoders was called
3.788,9.158,robot,enableMotorEncoders was called
3.820,32.044,r.init,r.init finished (a)
