sec,d ms,r.init,r.init was invoked (a)
0.001,1.188,r.init,debug mode is false
0.003,1.267,robot,pushButton was invoked with button 0
4.554,4551.520,robot,resetMotorEncoders was called
4.555,0.823,robot,enableMotorEncoders was called
4.556,0.762,r.init,r.init finished (a)
4.557,0.845,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.557,0.810,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
