sec,d ms,r.init,r.init was invoked (a)
0.001,0.474,r.init,debug mode is false
0.001,0.703,robot,pushButton was invoked with button 0
3.375,3373.653,robot,resetMotorEncoders was called
3.390,14.484,robot,enableMotorEncoders was called
3.427,37.871,r.init,r.init finished (a)
3.486,58.134,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.487,1.349,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.656,169.503,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.665,8.217,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.668,3.342,in TeleOp_Revised,top of main loop
3.669,1.167,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.694,24.617,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.695,1.095,in TeleOp_Revised,top of main loop
3.696,0.791,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.717,21.142,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.718,1.182,in TeleOp_Revised,top of main loop
3.719,0.632,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.720,1.838,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.722,1.420,in TeleOp_Revised,top of main loop
3.722,0.481,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.725,2.320,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.727,2.020,in TeleOp_Revised,top of main loop
3.727,0.601,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.729,1.851,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.730,1.052,in TeleOp_Revised,top of main loop
3.731,1.311,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.733,1.999,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.735,1.660,in TeleOp_Revised,top of main loop
3.736,0.671,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.738,2.359,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.740,1.813,in TeleOp_Revised,top of main loop
3.740,0.519,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.742,1.929,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.743,0.990,in TeleOp_Revised,top of main loop
3.744,0.770,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.747,2.862,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.750,2.786,in TeleOp_Revised,top of main loop
3.750,0.569,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.753,2.514,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.755,2.185,in TeleOp_Revised,top of main loop
3.756,0.582,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.758,2.021,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.760,1.974,in TeleOp_Revised,top of main loop
3.761,1.263,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.763,2.017,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.764,1.109,in TeleOp_Revised,top of main loop
3.765,1.031,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.767,1.609,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.768,0.892,in TeleOp_Revised,top of main loop
3.769,1.593,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.772,2.693,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.773,1.573,in TeleOp_Revised,top of main loop
3.774,0.674,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.776,1.825,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.779,3.397,in TeleOp_Revised,top of main loop
3.780,0.599,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.782,1.638,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.783,1.236,in TeleOp_Revised,top of main loop
3.784,0.736,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.786,1.945,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.787,1.256,in TeleOp_Revised,top of main loop
3.787,0.543,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.790,3.035,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.792,1.730,in TeleOp_Revised,top of main loop
3.793,0.740,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.795,1.942,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.796,1.605,in TeleOp_Revised,top of main loop
3.798,1.832,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.801,2.447,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.803,2.150,in TeleOp_Revised,top of main loop
