sec,d ms,r.init,r.init was invoked (a)
0.001,0.556,r.init,debug mode is false
0.001,0.690,robot,pushButton was invoked with button 0
3.159,3157.358,robot,resetMotorEncoders was called
3.180,21.550,robot,enableMotorEncoders was called
3.220,39.803,r.init,r.init finished (a)
3.287,67.449,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.289,1.367,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.486,196.957,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.180,693.966,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.248,68.641,in TeleOp_Revised,top of main loop
4.249,0.786,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.347,98.148,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.351,3.718,in TeleOp_Revised,top of main loop
4.352,1.362,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.357,4.299,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.360,3.750,in TeleOp_Revised,top of main loop
4.362,2.027,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.366,3.203,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.367,1.642,in TeleOp_Revised,top of main loop
4.368,0.721,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.370,1.943,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.373,2.817,in TeleOp_Revised,top of main loop
4.374,0.837,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.376,2.843,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.379,2.946,in TeleOp_Revised,top of main loop
4.380,1.019,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.382,2.074,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.384,1.141,in TeleOp_Revised,top of main loop
4.385,1.211,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.388,2.834,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.391,2.891,in TeleOp_Revised,top of main loop
4.393,2.309,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.395,2.130,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.397,1.662,in TeleOp_Revised,top of main loop
