sec,d ms,r.init,r.init was invoked (a)
0.001,0.721,r.init,debug mode is false
0.001,0.729,robot,pushButton was invoked with button 0
3.249,3248.043,robot,resetMotorEncoders was called
3.266,16.330,robot,enableMotorEncoders was called
3.289,22.898,r.init,r.init finished (a)
3.353,64.108,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.354,1.526,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
