sec,d ms,r.init,r.init was invoked (a)
0.000,0.571,r.init,debug mode is false
0.001,0.670,robot,pushButton was invoked with button 0
3.495,3494.502,robot,resetMotorEncoders was called
3.513,17.674,robot,enableMotorEncoders was called
3.537,24.222,r.init,r.init finished (a)
