sec,d ms,r.init,r.init was invoked (a)
0.001,0.972,r.init,debug mode is false
0.002,1.288,robot,pushButton was invoked with button 0
3.382,3379.442,robot,resetMotorEncoders was called
3.399,17.128,robot,enableMotorEncoders was called
3.430,31.169,r.init,r.init finished (a)
3.494,63.746,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.495,1.264,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
