sec,d ms,r.init,r.init was invoked (a)
0.001,0.527,r.init,debug mode is false
0.002,0.811,robot,pushButton was invoked with button 0
4.484,4482.554,robot,resetMotorEncoders was called
4.485,0.994,robot,enableMotorEncoders was called
4.486,0.795,r.init,r.init finished (a)
