sec,d ms,r.init,r.init was invoked (a)
0.001,1.277,r.init,debug mode is false
0.002,0.973,robot,pushButton was invoked with button 0
4.115,4112.976,robot,resetMotorEncoders was called
4.136,20.273,robot,enableMotorEncoders was called
4.179,43.208,r.init,r.init finished (a)
