sec,d ms,r.init,r.init was invoked (a)
0.001,0.617,r.init,debug mode is false
0.002,0.639,robot,pushButton was invoked with button 0
3.931,3929.299,robot,resetMotorEncoders was called
3.952,20.609,robot,enableMotorEncoders was called
3.985,33.470,r.init,r.init finished (a)
