sec,d ms,r.init,r.init was invoked (a)
0.002,1.915,r.init,debug mode is false
0.004,2.008,robot,pushButton was invoked with button 0
4.091,4087.309,robot,resetMotorEncoders was called
4.105,14.594,robot,enableMotorEncoders was called
4.127,21.866,r.init,r.init finished (a)
4.208,80.239,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
7.994,3786.002,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.177,183.904,in TeleOp_Revised,top of main loop
8.179,1.358,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.278,99.344,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.283,4.615,in TeleOp_Revised,top of main loop
8.285,2.059,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.290,5.356,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.293,2.896,in TeleOp_Revised,top of main loop
8.294,0.829,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.300,6.188,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.302,2.171,in TeleOp_Revised,top of main loop
8.303,0.862,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.307,3.547,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.310,3.460,in TeleOp_Revised,top of main loop
8.311,1.312,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.315,3.141,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.318,3.386,in TeleOp_Revised,top of main loop
8.319,1.244,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.322,2.756,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.324,1.788,in TeleOp_Revised,top of main loop
8.325,1.490,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.328,2.982,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.330,1.431,in TeleOp_Revised,top of main loop
8.330,0.656,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.332,1.836,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.333,1.184,in TeleOp_Revised,top of main loop
8.334,0.866,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.336,1.847,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.338,2.109,in TeleOp_Revised,top of main loop
8.339,0.877,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.342,2.711,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.344,2.329,in TeleOp_Revised,top of main loop
8.345,0.642,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.346,1.660,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.352,5.543,in TeleOp_Revised,top of main loop
8.353,1.518,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.355,2.032,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.358,2.578,in TeleOp_Revised,top of main loop
8.359,0.870,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.360,1.550,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.362,1.460,in TeleOp_Revised,top of main loop
8.363,0.966,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.365,2.050,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.367,2.015,in TeleOp_Revised,top of main loop
8.368,0.887,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.370,1.757,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.372,2.184,in TeleOp_Revised,top of main loop
8.373,1.272,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.375,2.073,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.376,1.260,in TeleOp_Revised,top of main loop
8.377,0.696,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.379,1.765,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.381,2.490,in TeleOp_Revised,top of main loop
8.384,2.613,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.386,2.051,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.388,2.148,in TeleOp_Revised,top of main loop
8.389,0.655,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.391,2.372,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.393,1.831,in TeleOp_Revised,top of main loop
8.394,0.691,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.395,1.594,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.398,2.945,in TeleOp_Revised,top of main loop
8.399,0.910,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.401,1.781,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.403,2.133,in TeleOp_Revised,top of main loop
8.404,0.768,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.406,2.095,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.408,1.621,in TeleOp_Revised,top of main loop
8.408,0.861,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.411,2.158,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.412,1.563,in TeleOp_Revised,top of main loop
8.413,1.017,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.416,2.504,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.417,1.714,in TeleOp_Revised,top of main loop
8.418,1.059,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.420,1.936,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.422,1.633,in TeleOp_Revised,top of main loop
8.423,0.890,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.425,2.128,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.427,1.783,in TeleOp_Revised,top of main loop
8.428,1.467,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.430,1.637,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.431,1.419,in TeleOp_Revised,top of main loop
8.432,0.650,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.434,2.275,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.436,1.867,in TeleOp_Revised,top of main loop
8.437,0.788,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.439,2.353,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.442,2.506,in TeleOp_Revised,top of main loop
8.443,1.164,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.446,2.626,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.449,3.559,in TeleOp_Revised,top of main loop
8.451,2.129,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.453,1.830,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.455,1.584,in TeleOp_Revised,top of main loop
8.455,0.612,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.462,7.130,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.465,2.278,in TeleOp_Revised,top of main loop
8.465,0.794,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.467,1.985,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.470,2.139,in TeleOp_Revised,top of main loop
8.471,1.431,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.474,2.472,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.475,1.726,in TeleOp_Revised,top of main loop
8.476,0.628,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.479,3.401,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.490,10.877,in TeleOp_Revised,top of main loop
8.492,2.021,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.495,2.554,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.504,9.716,in TeleOp_Revised,top of main loop
8.505,0.926,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.508,3.079,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.511,2.878,in TeleOp_Revised,top of main loop
8.512,1.138,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.514,1.989,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.516,1.843,in TeleOp_Revised,top of main loop
8.517,0.982,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.519,2.023,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.521,1.669,in TeleOp_Revised,top of main loop
8.522,0.594,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.524,1.969,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.526,2.034,in TeleOp_Revised,top of main loop
8.526,0.668,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.549,23.250,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.551,1.553,in TeleOp_Revised,top of main loop
8.555,3.747,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.561,6.454,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.566,4.399,in TeleOp_Revised,top of main loop
8.568,1.942,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.571,2.943,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.572,1.856,in TeleOp_Revised,top of main loop
8.573,1.032,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.576,2.962,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.579,2.265,in TeleOp_Revised,top of main loop
8.579,0.760,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.581,1.736,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.583,2.345,in TeleOp_Revised,top of main loop
8.584,0.732,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.588,3.864,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.590,1.786,in TeleOp_Revised,top of main loop
8.591,0.801,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.593,1.876,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.594,1.294,in TeleOp_Revised,top of main loop
8.595,0.860,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.596,1.532,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.598,2.006,in TeleOp_Revised,top of main loop
8.599,0.655,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.601,1.635,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.602,1.267,in TeleOp_Revised,top of main loop
8.602,0.626,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.604,1.741,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.605,1.247,in TeleOp_Revised,top of main loop
8.606,0.682,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.608,1.781,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.609,1.160,in TeleOp_Revised,top of main loop
8.610,0.636,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
