sec,d ms,r.init,r.init was invoked (a)
0.000,0.846,r.init,debug mode is false
0.002,1.158,robot,pushButton was invoked with button 0
3.828,3826.542,robot,resetMotorEncoders was called
3.850,21.739,robot,enableMotorEncoders was called
3.877,27.440,r.init,r.init finished (a)
3.945,68.193,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.533,1587.470,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.729,196.228,in TeleOp_Revised,top of main loop
5.730,0.712,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.775,45.480,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.779,3.216,in TeleOp_Revised,top of main loop
5.781,1.970,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.783,2.794,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.786,2.213,in TeleOp_Revised,top of main loop
5.787,1.196,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.789,2.120,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.791,1.644,in TeleOp_Revised,top of main loop
5.792,1.195,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.794,2.638,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.797,2.959,in TeleOp_Revised,top of main loop
5.799,1.632,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.802,3.330,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.804,1.935,in TeleOp_Revised,top of main loop
5.805,0.872,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.807,2.336,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.811,3.628,in TeleOp_Revised,top of main loop
5.812,1.181,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.815,2.327,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.817,2.170,in TeleOp_Revised,top of main loop
5.818,1.663,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.821,2.427,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.823,2.133,in TeleOp_Revised,top of main loop
5.824,1.328,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.827,2.639,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.829,2.314,in TeleOp_Revised,top of main loop
5.830,1.143,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.833,2.738,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.835,2.316,in TeleOp_Revised,top of main loop
5.837,1.496,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.839,2.405,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.843,4.061,in TeleOp_Revised,top of main loop
5.845,1.464,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.850,5.139,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.854,4.496,in TeleOp_Revised,top of main loop
5.855,0.768,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.857,2.115,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.860,2.642,in TeleOp_Revised,top of main loop
5.861,1.046,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.864,2.978,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.866,2.358,in TeleOp_Revised,top of main loop
5.868,1.167,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.871,3.633,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.872,1.278,in TeleOp_Revised,top of main loop
5.873,0.797,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.875,1.923,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.876,1.164,in TeleOp_Revised,top of main loop
5.877,1.044,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.879,1.899,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.880,1.180,in TeleOp_Revised,top of main loop
5.882,1.095,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.884,2.176,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.886,2.210,in TeleOp_Revised,top of main loop
5.887,1.232,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.889,2.163,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.894,5.052,in TeleOp_Revised,top of main loop
5.896,1.469,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.898,2.055,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.900,2.123,in TeleOp_Revised,top of main loop
5.901,1.064,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.903,2.340,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.905,1.925,in TeleOp_Revised,top of main loop
5.907,1.387,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.909,1.891,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.910,1.446,in TeleOp_Revised,top of main loop
5.911,1.082,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.913,1.622,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.914,1.384,in TeleOp_Revised,top of main loop
5.915,0.519,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.917,1.797,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.918,0.979,in TeleOp_Revised,top of main loop
5.919,1.666,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.921,1.968,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.923,1.469,in TeleOp_Revised,top of main loop
5.923,0.519,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.925,1.847,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.926,1.271,in TeleOp_Revised,top of main loop
5.927,0.948,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.930,2.331,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.931,1.834,in TeleOp_Revised,top of main loop
5.932,0.669,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.934,1.485,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.936,2.290,in TeleOp_Revised,top of main loop
5.937,1.298,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.939,1.867,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.940,1.250,in TeleOp_Revised,top of main loop
5.941,0.632,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.942,1.619,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.944,1.063,in TeleOp_Revised,top of main loop
5.944,0.781,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.946,1.433,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.947,1.496,in TeleOp_Revised,top of main loop
5.948,0.598,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.949,1.464,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.950,0.984,in TeleOp_Revised,top of main loop
5.951,0.836,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.953,1.466,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.954,1.175,in TeleOp_Revised,top of main loop
5.954,0.594,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.956,1.494,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.957,1.003,in TeleOp_Revised,top of main loop
5.958,0.809,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.959,1.360,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.960,1.306,in TeleOp_Revised,top of main loop
5.961,0.727,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.963,1.592,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.964,1.497,in TeleOp_Revised,top of main loop
5.966,1.431,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.967,1.546,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.968,1.377,in TeleOp_Revised,top of main loop
5.970,1.721,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.972,1.988,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.973,1.126,in TeleOp_Revised,top of main loop
5.974,0.656,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.975,1.342,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.977,1.505,in TeleOp_Revised,top of main loop
5.977,0.500,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
