sec,d ms,r.init,r.init was invoked (a)
0.001,0.775,r.init,debug mode is false
0.002,1.015,robot,pushButton was invoked with button 0
3.912,3909.925,robot,resetMotorEncoders was called
3.923,10.968,robot,enableMotorEncoders was called
3.971,48.360,r.init,r.init finished (a)
4.066,95.203,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.094,27.558,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.235,141.696,in TeleOp_Revised,top of main loop
4.236,0.883,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.263,27.099,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.265,1.686,in TeleOp_Revised,top of main loop
4.266,1.039,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.291,24.525,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.292,1.663,in TeleOp_Revised,top of main loop
4.293,1.067,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.295,2.052,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.297,1.461,in TeleOp_Revised,top of main loop
4.298,0.778,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.300,2.791,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.302,1.969,in TeleOp_Revised,top of main loop
4.303,0.962,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.305,2.046,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.307,1.603,in TeleOp_Revised,top of main loop
4.308,0.981,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.310,2.195,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.313,2.600,in TeleOp_Revised,top of main loop
4.314,0.982,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.316,2.177,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.319,3.208,in TeleOp_Revised,top of main loop
4.320,1.132,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.323,2.603,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.334,10.788,in TeleOp_Revised,top of main loop
4.335,0.821,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.337,2.003,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.338,1.826,in TeleOp_Revised,top of main loop
4.340,1.876,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.349,8.882,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.352,2.587,in TeleOp_Revised,top of main loop
4.353,0.952,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.356,3.523,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.358,2.172,in TeleOp_Revised,top of main loop
4.360,1.369,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.363,3.401,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.374,10.576,in TeleOp_Revised,top of main loop
