sec,d ms,r.init,r.init was invoked (a)
0.001,0.644,r.init,debug mode is false
0.002,0.843,robot,pushButton was invoked with button 0
5.237,5235.706,robot,resetMotorEncoders was called
5.238,0.969,robot,enableMotorEncoders was called
5.240,1.720,r.init,r.init finished (a)
