sec,d ms,r.init,r.init was invoked (a)
0.001,1.012,r.init,debug mode is false
0.003,1.337,robot,pushButton was invoked with button 0
5.239,5236.467,robot,resetMotorEncoders was called
5.240,1.045,robot,enableMotorEncoders was called
5.241,0.952,r.init,r.init finished (a)
