sec,d ms,r.init,r.init was invoked (a)
0.001,0.434,r.init,debug mode is false
0.001,0.663,robot,pushButton was invoked with button 0
3.462,3460.368,robot,resetMotorEncoders was called
3.478,15.904,robot,enableMotorEncoders was called
3.514,35.933,r.init,r.init finished (a)
3.572,57.986,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.573,1.209,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
