sec,d ms,r.init,r.init was invoked (a)
0.001,0.922,r.init,debug mode is false
0.002,1.032,robot,pushButton was invoked with button 0
3.592,3589.728,robot,resetMotorEncoders was called
3.610,18.089,robot,enableMotorEncoders was called
3.653,43.313,r.init,r.init finished (a)
3.712,58.790,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.565,2852.300,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.758,193.309,in TeleOp_Revised,top of main loop
6.759,1.064,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.848,88.631,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.850,2.164,in TeleOp_Revised,top of main loop
6.851,1.091,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.855,4.149,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.858,2.580,in TeleOp_Revised,top of main loop
6.860,2.424,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.865,5.024,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.872,6.626,in TeleOp_Revised,top of main loop
6.872,0.821,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.875,2.364,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.878,3.443,in TeleOp_Revised,top of main loop
6.880,1.265,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.882,2.840,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.886,3.343,in TeleOp_Revised,top of main loop
6.887,1.311,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.890,2.858,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.892,2.340,in TeleOp_Revised,top of main loop
6.894,1.360,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.896,2.827,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.899,2.617,in TeleOp_Revised,top of main loop
6.900,0.915,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.903,2.922,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.906,3.009,in TeleOp_Revised,top of main loop
6.907,0.861,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.909,1.902,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.910,1.849,in TeleOp_Revised,top of main loop
6.912,1.392,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.916,3.879,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.917,1.202,in TeleOp_Revised,top of main loop
6.918,1.020,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.920,1.666,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.922,1.960,in TeleOp_Revised,top of main loop
6.922,0.734,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.926,3.657,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.929,2.889,in TeleOp_Revised,top of main loop
6.931,2.057,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.933,1.841,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
