sec,d ms,r.init,r.init was invoked (a)
0.001,1.001,r.init,debug mode is false
0.002,0.918,robot,pushButton was invoked with button 0
4.710,4708.125,robot,resetMotorEncoders was called
4.712,1.992,robot,enableMotorEncoders was called
4.715,3.093,r.init,r.init finished (a)
