sec,d ms,r.init,r.init was invoked (a)
0.001,0.744,r.init,debug mode is false
0.002,0.930,robot,pushButton was invoked with button 0
3.765,3763.177,robot,resetMotorEncoders was called
3.777,11.228,robot,enableMotorEncoders was called
3.800,23.917,r.init,r.init finished (a)
