sec,d ms,r.init,r.init was invoked (a)
0.002,1.892,r.init,debug mode is false
0.003,0.726,robot,pushButton was invoked with button 0
5.236,5232.775,robot,resetMotorEncoders was called
5.237,1.406,robot,enableMotorEncoders was called
5.238,0.869,r.init,r.init finished (a)
