sec,d ms,r.init,r.init was invoked (a)
0.000,0.589,r.init,debug mode is false
0.001,0.753,robot,pushButton was invoked with button 0
3.555,3553.875,robot,resetMotorEncoders was called
3.563,8.445,robot,enableMotorEncoders was called
3.589,25.972,r.init,r.init finished (a)
3.635,45.445,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.636,1.572,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.815,178.551,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.467,28652.177,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.543,76.246,in TeleOp_Revised,top of main loop
32.544,1.010,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.622,77.524,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.623,1.391,in TeleOp_Revised,top of main loop
32.624,0.938,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.627,2.326,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.628,1.322,in TeleOp_Revised,top of main loop
32.629,0.742,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.631,2.853,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.634,2.355,in TeleOp_Revised,top of main loop
32.635,0.852,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.638,3.330,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.639,1.361,in TeleOp_Revised,top of main loop
32.640,0.573,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.643,3.188,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.644,1.303,in TeleOp_Revised,top of main loop
32.646,1.096,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.647,1.581,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
32.649,1.741,in TeleOp_Revised,top of main loop
32.650,1.452,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
32.653,2.214,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
