sec,d ms,r.init,r.init was invoked (a)
0.001,0.919,r.init,debug mode is false
0.004,3.384,robot,pushButton was invoked with button 0
4.380,4375.417,robot,resetMotorEncoders was called
4.393,12.717,robot,enableMotorEncoders was called
4.437,44.562,r.init,r.init finished (a)
4.503,65.860,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
8.775,4271.976,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
8.963,188.379,in TeleOp_Revised,top of main loop
8.965,1.642,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.062,96.841,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.064,1.935,in TeleOp_Revised,top of main loop
9.065,0.888,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.067,2.849,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.070,2.846,in TeleOp_Revised,top of main loop
9.072,1.499,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.075,3.647,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.080,4.544,in TeleOp_Revised,top of main loop
9.082,2.089,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.088,5.487,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.090,2.773,in TeleOp_Revised,top of main loop
9.091,1.110,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.096,4.345,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.099,3.042,in TeleOp_Revised,top of main loop
9.100,1.083,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.104,4.054,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.107,3.347,in TeleOp_Revised,top of main loop
9.108,1.039,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.111,2.784,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.113,2.309,in TeleOp_Revised,top of main loop
9.114,0.693,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.117,2.645,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.118,1.567,in TeleOp_Revised,top of main loop
9.120,1.186,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.124,4.012,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.125,1.745,in TeleOp_Revised,top of main loop
9.126,0.650,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
