sec,d ms,r.init,r.init was invoked (a)
0.001,0.667,r.init,debug mode is false
0.001,0.819,robot,pushButton was invoked with button 0
3.131,3130.092,robot,resetMotorEncoders was called
3.150,18.699,robot,enableMotorEncoders was called
3.175,24.807,r.init,r.init finished (a)
3.249,73.551,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.250,1.385,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.438,187.880,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.210,771.867,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.259,49.662,in TeleOp_Revised,top of main loop
4.260,0.943,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.343,82.293,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.344,1.735,in TeleOp_Revised,top of main loop
4.345,0.985,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.364,18.973,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.366,1.501,in TeleOp_Revised,top of main loop
4.367,0.857,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.368,1.707,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.370,1.598,in TeleOp_Revised,top of main loop
4.371,0.960,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.374,2.677,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.375,1.907,in TeleOp_Revised,top of main loop
4.377,1.064,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.379,2.447,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.381,2.427,in TeleOp_Revised,top of main loop
4.383,1.128,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.385,2.279,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.387,2.491,in TeleOp_Revised,top of main loop
4.388,0.871,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.391,2.494,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.393,2.797,in TeleOp_Revised,top of main loop
4.396,2.033,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.401,5.109,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.402,1.816,in TeleOp_Revised,top of main loop
4.403,0.915,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.405,1.639,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.407,1.818,in TeleOp_Revised,top of main loop
4.408,0.904,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.410,2.027,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.411,1.698,in TeleOp_Revised,top of main loop
4.413,1.104,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.414,1.540,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.415,1.295,in TeleOp_Revised,top of main loop
4.416,0.849,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.418,2.038,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.420,1.349,in TeleOp_Revised,top of main loop
4.420,0.874,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.422,1.544,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.424,1.525,in TeleOp_Revised,top of main loop
4.424,0.575,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.427,2.671,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.428,1.213,in TeleOp_Revised,top of main loop
4.429,1.275,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.431,1.812,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.432,1.302,in TeleOp_Revised,top of main loop
4.433,0.580,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.435,1.661,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.436,1.433,in TeleOp_Revised,top of main loop
4.437,0.807,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.438,1.417,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.440,1.344,in TeleOp_Revised,top of main loop
4.440,0.566,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.442,1.546,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.443,1.119,in TeleOp_Revised,top of main loop
4.444,0.824,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.445,1.714,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.447,1.147,in TeleOp_Revised,top of main loop
4.447,0.634,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.449,2.052,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.451,1.391,in TeleOp_Revised,top of main loop
4.451,0.686,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.453,1.602,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.454,1.060,in TeleOp_Revised,top of main loop
4.455,0.570,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.458,3.736,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.459,1.159,in TeleOp_Revised,top of main loop
4.460,0.526,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.462,1.574,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.463,0.982,in TeleOp_Revised,top of main loop
4.463,0.581,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.465,1.706,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.466,1.405,in TeleOp_Revised,top of main loop
4.467,0.685,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.469,1.690,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.470,1.088,in TeleOp_Revised,top of main loop
4.470,0.602,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.472,1.429,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.473,0.941,in TeleOp_Revised,top of main loop
