sec,d ms,r.init,r.init was invoked (a)
0.001,0.986,r.init,debug mode is false
0.002,1.161,robot,pushButton was invoked with button 0
4.108,4105.658,robot,resetMotorEncoders was called
4.118,9.678,robot,enableMotorEncoders was called
4.144,26.250,r.init,r.init finished (a)
