sec,d ms,r.init,r.init was invoked (a)
0.002,1.213,r.init,debug mode is false
0.002,0.737,robot,pushButton was invoked with button 0
5.242,5239.687,robot,resetMotorEncoders was called
5.243,0.776,robot,enableMotorEncoders was called
5.244,0.732,r.init,r.init finished (a)
